dataset,horizon,scope,residual_mse,residual_mae,raw_residual_mae,residual_to_base_mae_ratio,residual_to_prediction_mae_ratio,mean_gate,max_gate,coefficient_l2,residual_norm_smoothness
ETTh2,96,all,2.935649263235973e-06,0.0013401939067989588,0.07428091764450073,0.001008128747344017,0.0010077259503304958,0.01804114691913128,0.018081894144415855,0.2992141842842102,4.877199685782152e-11
ETTh2,96,1-96,2.935649263235973e-06,0.0013401939067989588,0.07428091764450073,0.001008128747344017,0.0010077259503304958,0.01804114691913128,0.018081894144415855,0.2992141842842102,4.877199685782152e-11
ETTh2,192,all,6.418222824322584e-07,0.0005740257329307497,0.03185354545712471,0.00043713365448638797,0.0004371317627374083,0.018020501360297203,0.018058577552437782,0.20191414654254913,6.382833497853291e-12
ETTh2,192,1-96,5.141992573953758e-07,0.0005100796115584671,0.028305869549512863,0.00038843724178150296,0.00038843555375933647,0.018019404262304306,0.018053166568279266,0.20191414654254913,4.195633424020073e-12
ETTh2,192,97-192,7.694452506257221e-07,0.0006379717378877103,0.03540122136473656,0.00048583000898361206,0.0004858278844039887,0.018021613359451294,0.018058577552437782,0.20191414654254913,8.696458483892222e-12
ETTh2,336,all,5.362715000956086e-07,0.0004915310419164598,0.027294347062706947,0.00037287623854354024,0.000372915412299335,0.018008720129728317,0.018033435568213463,0.12604932487010956,3.3172080533827586e-12
ETTh2,336,1-96,4.093195116183779e-07,0.00042091766954399645,0.023369506001472473,0.0003193088050466031,0.0003193423617631197,0.01801099255681038,0.018033063039183617,0.12604932487010956,2.214366060307449e-12
ETTh2,336,97-192,6.455689458562119e-07,0.0005412755417637527,0.030067285522818565,0.0004106124979443848,0.0004106556298211217,0.018002400174736977,0.018028855323791504,0.12604932487010956,3.1883987637593147e-12
ETTh2,336,193-336,5.480412141878332e-07,0.0005054436041973531,0.028062276542186737,0.00038343030610121787,0.00038347061490640044,0.01801149733364582,0.018033435568213463,0.12604932487010956,3.852799156101039e-12
ETTh2,720,all,3.480144243894756e-07,0.00037866338971070945,0.021030375733971596,0.00027899935957975686,0.00027900299755856395,0.01800292730331421,0.018046963959932327,0.1493038684129715,2.6373068225810092e-12
ETTh2,720,1-96,2.7312489692121744e-07,0.00031247586593963206,0.017353149130940437,0.00023023235553409904,0.00023023536778055131,0.01800713874399662,0.018038174137473106,0.1493038684129715,2.2553662496621607e-12
ETTh2,720,97-192,1.5733117209038028e-07,0.00024145816860254854,0.013418643735349178,0.00017790649144444615,0.00017790881975088269,0.017993973568081856,0.018015775829553604,0.1493038684129715,7.911965353712969e-13
ETTh2,720,193-336,1.1404435440454108e-07,0.00024795831996016204,0.013778092339634895,0.00018269580323249102,0.00018269818974658847,0.017996663227677345,0.018020212650299072,0.1493038684129715,7.624982459666918e-13
ETTh2,720,337-720,5.021463493903866e-07,0.000478525907965377,0.026572221890091896,0.00035257809213362634,0.00035258271964266896,0.018006358295679092,0.018046963959932327,0.1493038684129715,3.9101174555133955e-12
ETTm1,96,all,6.50887272968248e-08,0.00016943590890150517,0.009447631426155567,0.0002293834841111675,0.00022938069014344364,0.01792898215353489,0.018142638728022575,0.08334976434707642,3.5514575221634592e-12
ETTm1,96,1-96,6.50887272968248e-08,0.00016943590890150517,0.009447631426155567,0.0002293834841111675,0.00022938069014344364,0.01792898215353489,0.018142638728022575,0.08334976434707642,3.5514575221634592e-12
ETTm1,192,all,5.4393453297052474e-08,0.00014521091361530125,0.00808970257639885,0.00019865874492097646,0.00019865987997036427,0.01795143075287342,0.01809561252593994,0.08823990821838379,1.8639749032461905e-12
ETTm1,192,1-96,3.273830628813812e-08,0.0001203808787977323,0.006698870100080967,0.00016468951071146876,0.0001646904565859586,0.017968816682696342,0.01809561252593994,0.08823990821838379,1.995564954601625e-12
ETTm1,192,97-192,7.604860030596683e-08,0.00017004090477712452,0.009480535984039307,0.00023262792092282325,0.00023262924514710903,0.01793377473950386,0.018034309148788452,0.08823990821838379,1.768158102571915e-12
ETTm1,336,all,9.145118724518397e-07,0.0005219472222961485,0.02902323566377163,0.0007221000269055367,0.0007220276747830212,0.017984095960855484,0.01805182546377182,0.0830647200345993,6.649193348695626e-12
ETTm1,336,1-96,5.559194846682658e-07,0.0004083719977643341,0.022702986374497414,0.0005649717641063035,0.0005649151280522346,0.017988666892051697,0.01805182546377182,0.0830647200345993,4.225439009103438e-12
ETTm1,336,97-192,1.1041703373848577e-06,0.0005771940341219306,0.03211430087685585,0.0007985325064510107,0.0007984525291249156,0.01797318086028099,0.018044577911496162,0.0830647200345993,1.0792294141692693e-11
ETTm1,336,193-336,1.0271346582158003e-06,0.0005608326755464077,0.031176026910543442,0.0007758970023132861,0.0007758192950859666,0.0179887767881155,0.01803761161863804,0.0830647200345993,5.6138843573805275e-12
ETTm1,720,all,7.5094690146215726e-06,0.00147296825889498,0.08169656991958618,0.0020256678108125925,0.002025604248046875,0.01800677739083767,0.018196800723671913,0.2156083732843399,1.0656043408774352e-10
ETTm1,720,1-96,3.218127176296548e-06,0.0010387820657342672,0.057840388268232346,0.0014285625657066703,0.001428517745807767,0.017958864569664,0.018050719052553177,0.2156083732843399,2.6781118989127606e-11
ETTm1,720,97-192,1.3742330793320434e-06,0.0006680405931547284,0.037188783288002014,0.000918708392418921,0.0009186795796267688,0.017964741215109825,0.018037112429738045,0.2156083732843399,1.8550619373947086e-11
ETTm1,720,193-336,1.3093192592350533e-06,0.000695213966537267,0.03867233544588089,0.0009560780017636716,0.0009560479666106403,0.017977150157094002,0.018040187656879425,0.2156083732843399,1.2614016602074951e-11
