baseline,dataset,horizon,segment,baseline_mse,candidate_mse,delta_mse,relative_mse_change,candidate_passes_mse
PatchEncoderFixedHeadAdapter,ETTh2,96,1-96,0.30123046040534973,0.3272140324115753,0.025983572006225586,0.08625811603269098,False
PatchEncoderFixedHeadAdapter,ETTh2,192,1-96,0.3329656422138214,0.3111036419868469,-0.021862000226974487,-0.06565842674222619,True
PatchEncoderFixedHeadAdapter,ETTh2,192,97-192,0.4499402344226837,0.44771072268486023,-0.0022295117378234863,-0.004955128630992876,True
PatchEncoderFixedHeadAdapter,ETTh2,336,1-96,0.28478601574897766,0.2762647867202759,-0.008521229028701782,-0.029921514953222813,True
PatchEncoderFixedHeadAdapter,ETTh2,336,97-192,0.3935405910015106,0.39260122179985046,-0.0009393692016601562,-0.0023869690271836543,True
PatchEncoderFixedHeadAdapter,ETTh2,336,193-336,0.4448659121990204,0.44560539722442627,0.0007394850254058838,0.001662264977216459,False
PatchEncoderFixedHeadAdapter,ETTh2,720,1-96,0.25333839654922485,0.25760042667388916,0.004262030124664307,0.016823466883497756,False
PatchEncoderFixedHeadAdapter,ETTh2,720,97-192,0.33585748076438904,0.34198299050331116,0.006125509738922119,0.01823841983504691,False
PatchEncoderFixedHeadAdapter,ETTh2,720,193-336,0.35477086901664734,0.3573133945465088,0.00254252552986145,0.007166669396810436,False
PatchEncoderFixedHeadAdapter,ETTh2,720,337-720,0.4739055335521698,0.4789332151412964,0.005027681589126587,0.0106090375257733,False
PatchEncoderFixedHeadAdapter,ETTm1,96,1-96,0.2897811233997345,0.2868218719959259,-0.0029592514038085938,-0.010212022677979946,True
PatchEncoderFixedHeadAdapter,ETTm1,192,1-96,0.29978907108306885,0.287821501493454,-0.011967569589614868,-0.03991996621617591,True
PatchEncoderFixedHeadAdapter,ETTm1,192,97-192,0.3676954209804535,0.36155661940574646,-0.006138801574707031,-0.016695344093048597,True
PatchEncoderFixedHeadAdapter,ETTm1,336,1-96,0.29980218410491943,0.2975756824016571,-0.002226501703262329,-0.007426569322400726,True
PatchEncoderFixedHeadAdapter,ETTm1,336,97-192,0.37194138765335083,0.36398425698280334,-0.007957130670547485,-0.0213935069736405,True
PatchEncoderFixedHeadAdapter,ETTm1,336,193-336,0.4108257293701172,0.41186854243278503,0.0010428130626678467,0.0025383343547316275,False
PatchEncoderFixedHeadAdapter,ETTm1,720,1-96,0.30194997787475586,0.2871623635292053,-0.014787614345550537,-0.048973722235820825,True
PatchEncoderFixedHeadAdapter,ETTm1,720,97-192,0.36912333965301514,0.35948535799980164,-0.009637981653213501,-0.026110463950270488,True
PatchEncoderFixedHeadAdapter,ETTm1,720,193-336,0.4117748737335205,0.4197574853897095,0.007982611656188965,0.019385863891624673,False
PatchEncoderFixedHeadAdapter,ETTm1,720,337-720,0.44770434498786926,0.46780890226364136,0.020104557275772095,0.04490587929477619,False
PatchEncoderFixedHeadAdapter,Weather,96,1-96,0.1495135873556137,0.14767061173915863,-0.0018429756164550781,-0.012326475800969275,True
PatchEncoderFixedHeadAdapter,Weather,192,1-96,0.1518111377954483,0.15278290212154388,0.0009717643260955811,0.006401139865014022,False
PatchEncoderFixedHeadAdapter,Weather,192,97-192,0.23809950053691864,0.2425609678030014,0.004461467266082764,0.018737827068188193,False
PatchEncoderFixedHeadAdapter,Weather,336,1-96,0.15427136421203613,0.1547032743692398,0.0004319101572036743,0.0027996780829009937,False
PatchEncoderFixedHeadAdapter,Weather,336,97-192,0.2407510131597519,0.24317562580108643,0.0024246126413345337,0.010071038163090372,False
PatchEncoderFixedHeadAdapter,Weather,336,193-336,0.3181469738483429,0.319417268037796,0.001270294189453125,0.003992790420375521,False
PatchEncoderFixedHeadAdapter,Weather,720,1-96,0.15336692333221436,0.15093621611595154,-0.0024307072162628174,-0.015848966409775095,True
PatchEncoderFixedHeadAdapter,Weather,720,97-192,0.23802396655082703,0.23968032002449036,0.00165635347366333,0.006958767630274057,False
PatchEncoderFixedHeadAdapter,Weather,720,193-336,0.31843969225883484,0.3233604431152344,0.004920750856399536,0.015452693166151664,False
PatchEncoderFixedHeadAdapter,Weather,720,337-720,0.3952022194862366,0.40179893374443054,0.00659671425819397,0.016691996990223657,False
