arm,loss,encoder_gradient_norm,readout_gradient_norm,pass
a6_full,0.8981574177742004,0.805399245582521,0.4445505850017071,True
a6_measure,0.8748781085014343,0.8595456648617983,0.51677355915308,True
pcsd_measure,0.9651349782943726,1.979036221280694,0.9670781046152115,True
pcsd_equal,1.9999299049377441,4.0924194641411304,1.7888786047697067,True
siff_measure,1.1801271438598633,1.8043900057673454,1.3415655083954334,True
siff_equal,2.6760454177856445,4.212588548660278,2.3880868032574654,True
siff_constant_equal,2.9263553619384766,5.590319022536278,3.3170019537210464,True
siff_permuted_equal,2.624879837036133,5.800723418593407,2.532472439110279,True
siff_q1_wide_equal,2.2085378170013428,3.3772287033498287,1.8058015517890453,True
siff_independent_equal,2.1418042182922363,5.833425752818584,0.8357318378984928,True
