dataset,future_region,preferred_scope,preferred_scope_mean_mse,best_to_worst_excess_mse_percent,validation_rows,split,evidence_role
ETTm1,1–48,360,0.300081749161,1.72004339,75607,validation,aggregate_internal_diagnostic
ETTm1,49–96,48,0.447025091289,2.71454280,75607,validation,aggregate_internal_diagnostic
ETTm1,97–144,48,0.575225826365,1.75752650,75607,validation,aggregate_internal_diagnostic
ETTm1,145–192,48,0.662373157816,1.53729603,75607,validation,aggregate_internal_diagnostic
ETTm1,193–288,360,0.815326183984,1.94807100,75607,validation,aggregate_internal_diagnostic
ETTm1,289–336,360,0.939921179271,2.39865144,75607,validation,aggregate_internal_diagnostic
ETTm1,337–512,720,1.09559336488,2.70753442,75607,validation,aggregate_internal_diagnostic
ETTm1,513–720,720,1.31671636301,1.97121972,75607,validation,aggregate_internal_diagnostic
ETTm2,1–48,720,0.0893692313271,14.12034506,75607,validation,aggregate_internal_diagnostic
ETTm2,49–96,720,0.132094750756,11.91772683,75607,validation,aggregate_internal_diagnostic
ETTm2,97–144,720,0.172368806547,8.45688260,75607,validation,aggregate_internal_diagnostic
ETTm2,145–192,720,0.203181989505,2.63265206,75607,validation,aggregate_internal_diagnostic
ETTm2,193–288,720,0.242963276319,1.51007380,75607,validation,aggregate_internal_diagnostic
ETTm2,289–336,144,0.273957380007,1.12364224,75607,validation,aggregate_internal_diagnostic
ETTm2,337–512,720,0.312300214141,5.01929026,75607,validation,aggregate_internal_diagnostic
ETTm2,513–720,720,0.364329198466,6.37509172,75607,validation,aggregate_internal_diagnostic
ETTh1,1–48,360,0.626970365237,10.86149476,15127,validation,aggregate_internal_diagnostic
ETTh1,49–96,720,0.960983740323,4.75228285,15127,validation,aggregate_internal_diagnostic
ETTh1,97–144,720,1.19526086673,3.75984298,15127,validation,aggregate_internal_diagnostic
ETTh1,145–192,720,1.38391660786,3.09153598,15127,validation,aggregate_internal_diagnostic
ETTh1,193–288,720,1.51273709399,5.09266270,15127,validation,aggregate_internal_diagnostic
ETTh1,289–336,720,1.5928457651,1.79510752,15127,validation,aggregate_internal_diagnostic
ETTh1,337–512,360,1.57166232808,4.92506615,15127,validation,aggregate_internal_diagnostic
ETTh1,513–720,144,1.63226103505,4.43196738,15127,validation,aggregate_internal_diagnostic
ETTh2,1–48,360,0.175049573807,3.43739861,15127,validation,aggregate_internal_diagnostic
ETTh2,49–96,360,0.296049115461,2.13053479,15127,validation,aggregate_internal_diagnostic
ETTh2,97–144,360,0.373358321486,1.24846417,15127,validation,aggregate_internal_diagnostic
ETTh2,145–192,360,0.428570264239,2.35489628,15127,validation,aggregate_internal_diagnostic
ETTh2,193–288,360,0.519486214314,3.34349866,15127,validation,aggregate_internal_diagnostic
ETTh2,289–336,360,0.62061512451,3.71635502,15127,validation,aggregate_internal_diagnostic
ETTh2,337–512,720,0.734644214032,1.43537258,15127,validation,aggregate_internal_diagnostic
ETTh2,513–720,1,0.926368134245,0.80736413,15127,validation,aggregate_internal_diagnostic
Weather,1–48,360,0.336743709817,1.84943357,95571,validation,aggregate_internal_diagnostic
Weather,49–96,360,0.450213789095,0.87359589,95571,validation,aggregate_internal_diagnostic
Weather,97–144,360,0.480298067772,0.39110276,95571,validation,aggregate_internal_diagnostic
Weather,145–192,360,0.5208814956,1.50443341,95571,validation,aggregate_internal_diagnostic
Weather,193–288,360,0.573697519225,1.18870954,95571,validation,aggregate_internal_diagnostic
Weather,289–336,360,0.61396240433,1.83294879,95571,validation,aggregate_internal_diagnostic
Weather,337–512,720,0.651887336145,0.98250123,95571,validation,aggregate_internal_diagnostic
Weather,513–720,720,0.667925780134,1.27957243,95571,validation,aggregate_internal_diagnostic
