rank,dataset,split,validation_window_index,raw_forecast_origin,channel,selection_score_scaled_mse,selection_separated_by_min_gap,mse_scaled_h96,mse_scaled_h192,mse_scaled_h336,mse_scaled_h720
1,ECL,val,222,18633,0,0.028746727854013443,True,0.018397629261016846,0.023253122344613075,0.024512171745300293,0.04882398620247841
2,ECL,val,1145,19556,0,0.15498030185699463,True,0.03672802075743675,0.04912553355097771,0.1823154091835022,0.35175222158432007
