epoch,train_loss,train_pred_loss,train_alignment_loss,train_reconstruction_loss,mse,mae
1,321.67573584279705,0.6275503784418106,0.9060841635350259,6420.057475428427,0.3744598925113678,0.42191097140312195
2,320.98912860501196,0.5540535291356425,0.8317189399273165,6407.869701754662,0.37154343724250793,0.4181022346019745
3,319.1044438269831,0.5299713635636915,0.7956377556247096,6370.693705897177,0.3897072970867157,0.42689359188079834
4,318.8601384316721,0.5143641608376657,0.7659898333011135,6366.1494140625,0.38177937269210815,0.4221319258213043
5,319.5542528706212,0.4998449274609166,0.7335451456808275,6380.354468560988,0.3823758363723755,0.42092254757881165
6,318.4585589747275,0.4855818974394952,0.6931104265874432,6358.766318044355,0.3918896019458771,0.4237080216407776
7,317.04152470250284,0.47307186213231855,0.6581041889805948,6330.710874495968,0.4006673991680145,0.4262947142124176
8,317.7098749222294,0.4605043626600696,0.6268927887562783,6344.360422442036,0.3983435034751892,0.4279285669326782
9,315.5656668755316,0.44758225352533404,0.6008055613886926,6301.760773689516,0.3967626392841339,0.4285790026187897
10,314.3664277599704,0.43152797847024854,0.5826112599142136,6278.115305254536,0.4272090494632721,0.44122999906539917
11,313.81219790058753,0.41691144339499936,0.568029111431491,6267.337614982359,0.4462486803531647,0.45283710956573486
12,315.09079404031075,0.40550484436173595,0.5546325416334213,6293.15107579385,0.44568681716918945,0.44885221123695374
