model,strategy,dataset,horizon,mse,mae,baseline_model,baseline_strategy,baseline_mse,baseline_mae,relative_mse_pct,relative_mae_pct,mse_win,mae_win
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,96,0.3120080232620239,0.367702841758728,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3393581807613373,0.3825231194496155,-8.059377687007373,-3.87434822559517,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,192,0.3631250262260437,0.39880508184432983,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.38873955607414246,0.41329216957092285,-6.589123604188463,-3.505289669928524,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,336,0.3823719918727875,0.4148602783679962,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.39454904198646545,0.42475733160972595,-3.086321044494056,-2.3300488314639156,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,720,0.40226176381111145,0.4369834363460541,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.4192008078098297,0.44865214824676514,-4.040794693888728,-2.6008371845113953,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,Weather,96,0.15518951416015625,0.20475393533706665,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.15470075607299805,0.204793781042099,0.3159377494752258,-0.019456501476555754,False,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,Weather,192,0.20103032886981964,0.24633537232875824,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.20070676505565643,0.24629350006580353,0.16121221129417052,0.017000961431601347,False,False
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,Weather,336,0.25722816586494446,0.2870030701160431,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.2568790018558502,0.28697192668914795,0.13592547719807335,0.010852429801921915,False,False
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,Weather,720,0.339505136013031,0.3419376611709595,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3384815454483032,0.3417808413505554,0.302406609309247,0.04588315125693132,False,False
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,96,0.3120080232620239,0.367702841758728,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.30479592084884644,0.35886070132255554,2.366206999454601,2.4639478225354283,False,False
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,192,0.3631250262260437,0.39880508184432983,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.3690433204174042,0.4003613591194153,-1.6036854927130584,-0.38871815164891466,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,336,0.3823719918727875,0.4148602783679962,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.3829101622104645,0.41559359431266785,-0.14054741576202678,-0.17645025205078602,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,720,0.40226176381111145,0.4369834363460541,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.41047340631484985,0.43929871916770935,-2.000529724315381,-0.5270406492515534,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,Weather,96,0.15518951416015625,0.20475393533706665,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.14802636206150055,0.19702932238578796,4.839105682864542,3.920539774355869,False,False
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,Weather,192,0.20103032886981964,0.24633537232875824,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.19240911304950714,0.23990498483181,4.4806691760458595,2.680389280554718,False,False
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,Weather,336,0.25722816586494446,0.2870030701160431,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.24479345977306366,0.28043317794799805,5.079672513885147,2.3427656513821393,False,False
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,Weather,720,0.339505136013031,0.3419376611709595,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.3208470046520233,0.3337559103965759,5.815273663297393,2.4514174938990108,False,False
