model,strategy,dataset,rows,max_prefix_mismatch_mse,mean_prefix_mismatch_mse
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,3,9.904287642575806e-15,8.723644557470453e-15
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,Weather,3,9.45190428610623e-15,3.15063476203541e-15
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,3,1.3651581730019565e-14,1.197587273354386e-14
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,3,9.662900193267276e-15,3.220966731089092e-15
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,3,1.4735178273947783e-14,1.2110637934206544e-14
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,3,9.959660727436662e-15,3.3198869091455537e-15
