model,strategy,dataset,horizon,segment,segment_start,segment_end,future_region,mse,mae,baseline_model,baseline_strategy,baseline_mse,baseline_mae,relative_mse_pct,relative_mae_pct,mse_win,mae_win
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,96,1-96,1,96,early_1_96,0.3120080232620239,0.367702841758728,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3393581807613373,0.3825231194496155,-8.059377687007373,-3.87434822559517,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,192,1-96,1,96,early_1_96,0.30601418018341064,0.36242130398750305,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3345992863178253,0.37814587354660034,-8.543086403137924,-4.158334298776767,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,192,97-192,97,192,middle_97_336,0.420235812664032,0.4351888597011566,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.44287991523742676,0.44843849539756775,-5.11292153794225,-2.954616035954838,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,336,1-96,1,96,early_1_96,0.28260543942451477,0.34761470556259155,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.29967692494392395,0.3584127724170685,-5.696629969959687,-3.0127461088110152,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,336,97-192,97,192,middle_97_336,0.3847242295742035,0.4134581387042999,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3950093984603882,0.4228722155094147,-2.603778271168422,-2.226222593928062,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,336,193-336,193,336,middle_97_336,0.4473147988319397,0.46062541007995605,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.4574902653694153,0.47024375200271606,-2.224193017365972,-2.0453949428985596,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,720,1-96,1,96,early_1_96,0.26257601380348206,0.3338805139064789,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.2677626609802246,0.3334573209285736,-1.9370315329834575,0.12691068731878197,True,False
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,720,97-192,97,192,middle_97_336,0.3400062322616577,0.3872102200984955,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.34515154361724854,0.39188912510871887,-1.4907397781470322,-1.19393591463538,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,720,193-336,193,336,middle_97_336,0.3629373013973236,0.41439899802207947,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3720743954181671,0.42428138852119446,-2.4557169569742965,-2.329206693123975,True,True
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,720,337-720,337,720,late_337_720,0.46749383211135864,0.4836716651916504,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.49324503540992737,0.5007806420326233,-5.22077293229467,-3.416461301604856,True,True
