strategy,baseline_strategy,settings,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct
S2_predictability_downweight,D0_full_time_mse,8,4,5,-2.607516872787738,-1.5320304838106382
S2_predictability_downweight,D1_r3_prefix_risk,8,3,3,2.3545206753446344,1.5958563712219889
