model,strategy,dataset,training_evaluation_decoupled,train_horizons_effective,step_loss_weighting,unit_type,epochs_ran,trace_rows,mean_active_steps,mean_mask_ratio,condition_types,mean_condition_top_blocks,mean_auxiliary_weight,mean_learnable_blocks,mean_noisy_blocks,mean_predictability_weight,mean_floor_weight,mean_time_loss,mean_unit_loss,mean_total_loss
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,ETTh2,True,720,uniform,predictability_downweight,11,649,148.80739599383668,0.2066769388803287,novelty_x_variation,4.0,0.1,3.100154083204931,0.9060092449922958,0.9999999950405997,0.5,0.6693624390751262,0.9179331310357445,0.7611557527664814
PatchEncoderPredictabilityDownweight,S2_predictability_downweight,Weather,True,720,uniform,predictability_downweight,14,2000,99.912,0.13876666666666668,novelty_x_variation,4.0,0.1,2.0815,2.1085,0.9999999862909317,0.5,0.5521165945976972,0.5899091557711362,0.6111075104624033
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,True,720,uniform,full_time,13,767,720.0,1.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.6612716996374466,0.6612716996374466,0.6612716996374466
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,True,720,uniform,full_time,14,2000,720.0,1.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.5773162700533867,0.5773162700533867,0.5773162700533867
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,False,"96,192,336,720",prefix_risk,horizon_mixed,11,2000,342.288,1.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.5114542225748301,0.5114542225748301,0.5114542225748301
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,False,"96,192,336,720",prefix_risk,horizon_mixed,11,2000,342.288,1.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.7398512164652348,0.7398512164652348,0.7398512164652348
