dataset,horizon,mean_target_state_cosine,mean_abs_gamma,mean_abs_beta,mean_target_state_norm,std_target_state_norm,mean_history_readout_norm
ETTh2,96,0.9900150895118713,0.35035717487335205,0.4200398325920105,15.885258674621582,1.058272123336792,11.192015647888184
ETTh2,192,0.972517728805542,0.34698596596717834,0.41668760776519775,15.52495288848877,1.0774773359298706,11.215518951416016
ETTh2,336,0.9506983615103222,0.3519856929779053,0.41657590866088867,15.110281944274902,1.1597148180007935,11.207164764404297
ETTh2,720,0.9545482016745068,0.3590260148048401,0.41803666949272156,14.693228721618652,1.1762967109680176,11.375833511352539
ETTm1,96,-0.5147877335548401,0.7807232737541199,0.39672186970710754,25.111162185668945,1.5856177806854248,11.920808792114258
ETTm1,192,0.007727151115735372,0.769799530506134,0.40673503279685974,22.780847549438477,3.362297773361206,11.9164457321167
ETTm1,336,0.17181486600921267,0.7515596151351929,0.415741890668869,21.564453125,3.1912035942077637,11.909749984741211
ETTm1,720,0.26347062417439054,0.7525357007980347,0.41786861419677734,19.957387924194336,2.953789234161377,11.917427062988281
Weather,96,0.17974242568016052,0.8818128108978271,0.3974114656448364,23.95608139038086,5.46874475479126,11.42615032196045
Weather,192,0.3005697081486384,0.8995757699012756,0.40092167258262634,21.177600860595703,5.098837852478027,11.431855201721191
Weather,336,0.3833868182486012,0.9339197278022766,0.4049932360649109,19.428600311279297,4.677055835723877,11.44729232788086
Weather,720,0.43179301277157806,0.9487382173538208,0.41129958629608154,17.66322898864746,4.133578777313232,11.43549633026123
