dataset,horizon,target_mse,target_mae,fixed_mse,fixed_mae,relative_mse_pct,relative_mae_pct,target_wins_mse,target_wins_mae
ETTh2,96,0.3128317594528198,0.3630985915660858,0.3074484169483185,0.36609065532684326,1.750974214775769,-0.8173013206486113,False,True
ETTh2,192,0.36947566270828247,0.3997904360294342,0.37734004855155945,0.4069473147392273,-2.0841641043575554,-1.758674514016445,True,True
ETTh2,336,0.38482481241226196,0.416081964969635,0.3841150403022766,0.4212876260280609,0.18478112948319136,-1.2356548677931456,False,True
ETTh2,720,0.4075239300727844,0.43818458914756775,0.4074031412601471,0.4438471794128418,0.029648473564458655,-1.2757972851748178,False,True
ETTm1,96,0.2980927526950836,0.3521495759487152,0.29047533869743347,0.3442326486110687,2.6223961152119113,2.2998769493800753,False,False
ETTm1,192,0.32825952768325806,0.37229275703430176,0.3377011716365814,0.3733891248703003,-2.7958576239362376,-0.29362607611546077,True,True
ETTm1,336,0.358102023601532,0.3912339210510254,0.361540287733078,0.3907651901245117,-0.9510044241831439,0.11995206798340874,True,False
ETTm1,720,0.41007283329963684,0.42133307456970215,0.412788063287735,0.42070141434669495,-0.6577782231569684,0.15014454467383587,True,False
Weather,96,0.15661290287971497,0.20630109310150146,0.14708691835403442,0.1950538456439972,6.476432188722425,5.766226972029154,False,False
Weather,192,0.20388908684253693,0.24964451789855957,0.19520847499370575,0.24188493192195892,4.4468416902037955,3.207965835219606,False,False
Weather,336,0.2594741880893707,0.2910696268081665,0.25078684091567993,0.28711846470832825,3.4640362875385744,1.3761435036412806,False,False
Weather,720,0.33708974719047546,0.3429449796676636,0.32312721014022827,0.33546921610832214,4.321065082754205,2.2284499442498884,False,False
