dataset,horizon,segment,target_mse,target_mae,fixed_mse,fixed_mae,relative_mse_pct,relative_mae_pct,target_wins_mse,target_wins_mae
ETTh2,96,1-96,0.3128317594528198,0.3630985915660858,0.3074484169483185,0.36609065532684326,1.750974214775769,-0.8173013206486113,False,True
ETTh2,192,1-96,0.31234899163246155,0.36179861426353455,0.3041790723800659,0.3596230745315552,2.6858913035895826,0.6049499840390382,False,False
ETTh2,192,97-192,0.4266023635864258,0.4377822279930115,0.45050108432769775,0.4542715549468994,-5.3049196933536935,-3.629839195151763,True,True
ETTh2,336,1-96,0.2836124897003174,0.3445180654525757,0.28333091735839844,0.34809982776641846,0.09937932102297431,-1.0289468790677492,False,True
ETTh2,336,97-192,0.3852458596229553,0.41429322957992554,0.39427974820137024,0.4292934834957123,-2.2912382945423415,-3.4941722836416056,True,True
ETTh2,336,193-336,0.45201900601387024,0.46498367190361023,0.4445280134677887,0.4647422432899475,1.6851564623889148,0.051948928066791744,False,False
ETTh2,720,1-96,0.25704285502433777,0.3229295015335083,0.2543378472328186,0.3262273371219635,1.0635490631651923,-1.0109010537097562,False,True
ETTh2,720,97-192,0.33688244223594666,0.3832933306694031,0.3411703407764435,0.3901240825653076,-1.256820428979355,-1.7509177723631142,True,True
ETTh2,720,193-336,0.36703839898109436,0.41837000846862793,0.35521161556243896,0.41422906517982483,3.329503569281922,0.9996747299722664,False,False
ETTh2,720,337-720,0.4779866337776184,0.4881516695022583,0.48179948329925537,0.4977897107601166,-0.7913768390799047,-1.9361672307652067,True,True
ETTm1,96,1-96,0.2980927526950836,0.3521495759487152,0.29047533869743347,0.3442326486110687,2.6223961152119113,2.2998769493800753,False,False
ETTm1,192,1-96,0.2972562909126282,0.35223957896232605,0.2987188696861267,0.35031452775001526,-0.4896171356818968,0.5495208048249989,True,False
ETTm1,192,97-192,0.3592627942562103,0.3923458755016327,0.37668347358703613,0.39646369218826294,-4.624752757251138,-1.038636517735625,True,True
ETTm1,336,1-96,0.29434749484062195,0.35213702917099,0.29374390840530396,0.35131213068962097,0.20548049441937444,0.23480500936581272,False,False
ETTm1,336,97-192,0.35547733306884766,0.39216098189353943,0.35962292551994324,0.391627699136734,-1.1527608939563283,0.13617084746071484,True,False
ETTm1,336,193-336,0.4023548662662506,0.4166805148124695,0.4080162048339844,0.4164922535419464,-1.3875278728297746,0.04520162594190413,True,False
ETTm1,720,1-96,0.28454476594924927,0.3501635491847992,0.29211053252220154,0.35281580686569214,-2.5900355278621223,-0.7517400380824157,True,True
ETTm1,720,97-192,0.3508554995059967,0.3917748034000397,0.3583531081676483,0.3930736482143402,-2.09224044406614,-0.3304329405445894,True,True
ETTm1,720,193-336,0.40084269642829895,0.41820478439331055,0.41059064865112305,0.4203362762928009,-2.3741291368539863,-0.5070920640705245,True,True
ETTm1,720,337-720,0.45972052216529846,0.44768819212913513,0.4573901295661926,0.4447166323661804,0.509497789407054,0.6681917307981289,False,False
Weather,96,1-96,0.15661290287971497,0.20630109310150146,0.14708691835403442,0.1950538456439972,6.476432188722425,5.766226972029154,False,False
Weather,192,1-96,0.15757077932357788,0.20689576864242554,0.15198560059070587,0.20113612711429596,3.674807818085868,2.863553957592435,False,False
Weather,192,97-192,0.25020742416381836,0.2923932671546936,0.23843136429786682,0.2826337516307831,4.938972647591777,3.4530608844834054,False,False
Weather,336,1-96,0.1591162085533142,0.20798653364181519,0.15354138612747192,0.2040555626153946,3.6308272098142913,1.9264218902131702,False,False
Weather,336,97-192,0.2523502707481384,0.29389816522598267,0.2438506931066513,0.2894735634326935,3.485566324705802,1.528499439057751,False,False
Weather,336,193-336,0.3311288356781006,0.34457266330718994,0.32024121284484863,0.34092363715171814,3.3998193850604874,1.0703353354897693,False,False
Weather,720,1-96,0.15502186119556427,0.20619504153728485,0.15367551147937775,0.20635920763015747,0.87609906303594,-0.07955355845659096,False,True
Weather,720,97-192,0.2451886385679245,0.2919941842556,0.23720782995224,0.2855444550514221,3.3644794176024506,2.2587478377110726,False,False
Weather,720,193-336,0.32806387543678284,0.34472280740737915,0.31677156686782837,0.3358266353607178,3.564811286761138,2.6490370655400275,False,False
Weather,720,337-720,0.40896672010421753,0.3892034888267517,0.38935336470603943,0.3800938129425049,5.037417722840565,2.3966914414428553,False,False
