dataset,prefix_horizon,target_h720_prefix_mse,target_h720_prefix_mae,fixed_h720_prefix_mse,fixed_h720_prefix_mae,relative_mse_pct,relative_mae_pct,target_wins_mse,target_wins_mae
ETTh2,96,0.2570428738836199,0.3229294652119279,0.2543378472328186,0.3262273371219635,1.0635564782166096,-1.0109121875346294,False,True
ETTh2,192,0.2969626735818262,0.35311140042419237,0.29775410890579224,0.35817569494247437,-0.2658016464909374,-1.4139135038449102,True,True
ETTh2,336,0.3269951265260932,0.38107936962374617,0.3223787248134613,0.3821985721588135,1.4319808837580883,-0.2928327358068361,False,True
ETTh2,720,0.40752393879617255,0.43818458629151186,0.4074031412601471,0.4438471794128418,0.029650614782150697,-1.2757979286521337,False,True
ETTm1,96,0.2845447931904346,0.35016359963143867,0.29211053252220154,0.35281580686569214,-2.5900262022191645,-0.7517257397889443,True,True
ETTm1,192,0.31770015333313495,0.3709691925129543,0.3252318203449249,0.3729446828365326,-2.3157841701350934,-0.52970062706168,True,True
ETTm1,336,0.35333267348774133,0.39121299383363556,0.3618141710758209,0.3932553827762604,-2.3441584841358276,-0.5193543514156573,True,True
ETTm1,720,0.4100728451274335,0.4213331060897973,0.412788063287735,0.42070141434669495,-0.657775357813295,0.15015203694603851,True,False
Weather,96,0.15502187764892975,0.20619502066013715,0.15367551147937775,0.20635920763015747,0.8761097695989539,-0.0795636753532114,False,True
Weather,192,0.20010528263325492,0.24909461021889,0.19544166326522827,0.2459518164396286,2.3861950876348015,1.277808728862495,False,False
Weather,336,0.25494468256476377,0.2900780960695729,0.24744020402431488,0.2844696044921875,3.0328452767164116,1.9715609291183211,False,False
Weather,720,0.3370897638714976,0.3429449564363394,0.32312721014022827,0.33546921610832214,4.321070245124181,2.2284430192257343,False,False
