epoch,train_loss,mse,mae
1,0.45600621748558234,0.408930242061615,0.28995200991630554
2,0.4170259392072617,0.4153909683227539,0.28565314412117004
3,0.40758872992345985,0.3958859145641327,0.2782557010650635
4,0.4021936609921321,0.4030393660068512,0.27733030915260315
5,0.3974184900732108,0.40116581320762634,0.2755115032196045
6,0.3928003791247455,0.4037489593029022,0.2815897464752197
7,0.39292053353618567,0.40337714552879333,0.2794257402420044
8,0.3878394172749889,0.40432167053222656,0.2774890661239624
9,0.3846951203656868,0.40523794293403625,0.2797127366065979
10,0.3809565414845104,0.40728673338890076,0.2794657051563263
11,0.3783168881397012,0.4112592041492462,0.28063875436782837
12,0.37455146507897846,0.4253188371658325,0.2889941930770874
13,0.37152490780597003,0.4270162284374237,0.28817442059516907
