arm,dataset,objective,epochs,best_epoch,best_val_mean_mse,minimum_scope_gradient_norm,nonzero_scope_gradient_count,all_scope_gradients_nonzero,final_credit_argmax_accuracy,final_credit_policy_kl,final_credit_entropy,final_policy_entropy,final_positive_contributor_count
iscf_rscc,Weather,equal_scope_coalition_credit,18,13,0.4845986908650957,0.04919196886181939,5,True,0.3901710584490738,0.5260903922444217,0.3229195388430723,0.8365119280367552,2.520439579813919
iscf_rscc,ETTm1,equal_scope_coalition_credit,16,11,0.618583818071241,0.04608244768750196,5,True,0.36288998048738164,0.536762145265189,0.31959192641798595,0.8431740855388199,2.528812562867021
iscf_rscc,ETTh1,equal_scope_coalition_credit,8,3,1.1229703096602675,0.07331088053441681,5,True,0.3025293606044972,0.5516025674554099,0.41572475459723346,0.9602773163170941,2.542380355100716
iscf_rscc,ETTh2,equal_scope_coalition_credit,9,4,0.4009110697952565,0.06343051843938574,5,True,0.30730782739356555,0.5521484281109498,0.416552569750136,0.964689242365086,2.544201697923441
iscf_rscc,ETTm2,equal_scope_coalition_credit,10,5,0.183360953969601,0.08148711439380314,5,True,0.39440353148577295,0.5152689893963714,0.28247824598923615,0.7754088466462021,2.530112858674701
iscf_equal_armerr,Weather,pointwise_prior_composed,18,13,0.4843199907920308,0.05440686894950561,5,True,0.22458438986798054,0.22887877557789807,0.7710777051504769,0.9952097770216662,2.5489888279446626
iscf_equal_armerr,ETTm1,pointwise_prior_composed,16,11,0.6143804589793684,0.05712061337982826,5,True,0.22896534159894616,0.23351872408884833,0.7674148190320689,0.9933242981958573,2.530439882895201
iscf_equal_armerr,ETTh1,pointwise_prior_composed,8,3,1.1221109584720421,0.07729635321724732,5,True,0.2140935400286607,0.2332348283545106,0.7698818033775398,0.9938478817981956,2.545450532330876
iscf_equal_armerr,ETTh2,pointwise_prior_composed,9,4,0.40065204453578823,0.06539489642049359,5,True,0.21511298536726858,0.23089587701632913,0.7703155337181766,0.9956504306962005,2.5440096601975704
iscf_equal_armerr,ETTm2,pointwise_prior_composed,10,5,0.18345637612884663,0.1089893343811675,5,True,0.22534413996753086,0.23305429283774037,0.7725795579923166,0.9861962630711928,2.5596993043155742
iscf_rscc_shuffled,Weather,equal_scope_coalition_credit_shuffled,18,13,0.4842229602348414,0.0550214315055187,5,True,0.19998879230409752,0.5556348924817591,0.4460238031639519,0.9983876778976152,2.5523565011334335
iscf_rscc_shuffled,ETTm1,equal_scope_coalition_credit_shuffled,16,11,0.6146030415029686,0.057531989364737364,5,True,0.19999374810275425,0.56397027070688,0.4393437547343118,0.9967292846399844,2.5323177691131944
iscf_rscc_shuffled,ETTh1,equal_scope_coalition_credit_shuffled,8,3,1.121580273142114,0.07773250193063137,5,True,0.20003364406592022,0.5647308243586954,0.43964066719059397,0.9958983253588719,2.546481878356596
iscf_rscc_shuffled,ETTh2,equal_scope_coalition_credit_shuffled,9,4,0.4006764189215444,0.06556935994102892,5,True,0.1999404433026778,0.5632127789796981,0.43918713373420515,0.9978019600420927,2.5469785759934283
iscf_rscc_shuffled,ETTm2,equal_scope_coalition_credit_shuffled,10,5,0.18353656364610837,0.11002081512153494,5,True,0.19986907000074516,0.5649575847111153,0.44461112521214835,0.9907208587902393,2.561364291947781
