arm,dataset,coalition_oracle_headroom_l1_percent,policy_credit_spearman_median,policy_entropy_median,minimum_scope_usage,nonzero_usage_scope_count,positive_contributor_count_mean
iscf_rscc,Weather,13.74887437336093,0.22360679774997896,0.8362043692575674,0.08939602226018906,5,2.5066786024305556
iscf_rscc,ETTm1,16.448399902278833,0.15389675281277312,0.8888151806610336,0.03498462587594986,5,2.560986328125
iscf_rscc,ETTh1,18.293972674092053,0.10259783520851541,0.9933450488812716,0.15618287026882172,5,2.5498372395833333
iscf_rscc,ETTh2,19.208204178496423,0.10259783520851541,0.9926732709457964,0.14571869373321533,5,2.5542317708333333
iscf_rscc,ETTm2,21.015889953847942,0.22360679774997896,0.807140521149674,0.015638312324881554,5,2.5550238715277778
iscf_equal_armerr,Weather,13.451606726543908,0.11180339887498948,0.9987717468643421,0.18926894664764404,5,2.5441026475694444
iscf_equal_armerr,ETTm1,16.19145423259637,0.051298917604257706,0.9993948804876374,0.18851807713508606,5,2.5377983940972224
iscf_equal_armerr,ETTh1,18.331357397478733,0.10259783520851541,0.9993608306824725,0.18870286643505096,5,2.5515516493055554
iscf_equal_armerr,ETTh2,19.04526408033047,0.051298917604257706,0.9993065386438398,0.1962413638830185,5,2.544683159722222
iscf_equal_armerr,ETTm2,21.150713373052778,0.10259783520851541,0.9988777436886922,0.19284160435199738,5,2.5240885416666665
iscf_rscc_shuffled,Weather,13.42776895625587,0.051298917604257706,0.9997788508638108,0.1952703446149826,5,2.551752387152778
iscf_rscc_shuffled,ETTm1,16.15059833922722,0.051298917604257706,0.9998340592389836,0.19539105892181396,5,2.5376302083333333
iscf_rscc_shuffled,ETTh1,18.332256789348556,0.1,0.9996086677387288,0.1908542513847351,5,2.552007378472222
iscf_rscc_shuffled,ETTh2,19.05002230021178,0.051298917604257706,0.9995721788444475,0.19617727398872375,5,2.543576388888889
iscf_rscc_shuffled,ETTm2,20.938096146737617,0.1,0.9991420311547876,0.19601421058177948,5,2.5245768229166665
iscf_equal,Weather,12.095965710013834,0.35355339059327373,0.09781163536386436,0.09143266826868057,5,2.5342122395833333
iscf_equal,ETTm1,17.435979156473856,0.20519567041703082,0.9190978545187358,0.13556963205337524,5,2.537966579861111
iscf_equal,ETTh1,18.077464502694628,0.11180339887498948,0.9845529957374073,0.13514100015163422,5,2.5467013888888888
iscf_equal,ETTh2,20.08847869637832,0.051298917604257706,0.9729630324723528,0.17602983117103577,5,2.697488064236111
iscf_equal,ETTm2,24.15750745254509,0.20519567041703082,0.9668423220347919,0.14338457584381104,5,2.5157606336805554
