scope,mean_abs_gamma,mean_abs_beta,mean_target_state_norm,std_target_state_norm,mean_history_readout_norm
all,0.76017826795578,0.41496363282203674,8.975403785705566,1.5806392431259155,11.57361888885498
segment_0,0.6760882139205933,0.37622180581092834,12.387655258178711,1.4915056228637695,11.57361888885498
segment_1,0.725658118724823,0.4209930896759033,8.977020263671875,1.843424677848816,11.57361888885498
segment_2,0.8576566576957703,0.43912988901138306,8.90075397491455,0.9272081851959229,11.57361888885498
segment_3,0.6448211669921875,0.39784500002861023,8.791059494018555,0.9305956363677979,11.57361888885498
segment_4,0.7612429857254028,0.4047031104564667,8.971590995788574,1.7445963621139526,11.57361888885498
segment_5,0.8815926313400269,0.4480275809764862,9.1641206741333,0.8486290574073792,11.57361888885498
segment_6,0.655051052570343,0.4044272303581238,8.639001846313477,0.9384264349937439,11.57361888885498
segment_7,0.7646674513816833,0.40131527185440063,8.712644577026367,1.5422688722610474,11.57361888885498
segment_8,0.8759819865226746,0.4451078474521637,8.81760311126709,0.8115494251251221,11.57361888885498
segment_9,0.656444251537323,0.3998945951461792,8.341967582702637,0.910555362701416,11.57361888885498
segment_10,0.7619035243988037,0.40414437651634216,8.837767601013184,1.6644412279129028,11.57361888885498
segment_11,0.8685190677642822,0.4380872845649719,8.39852523803711,0.8861915469169617,11.57361888885498
segment_12,0.6430249810218811,0.39871343970298767,7.9998979568481445,0.7999603748321533,11.57361888885498
segment_13,0.7565393447875977,0.40656837821006775,8.830270767211914,1.7179133892059326,11.57361888885498
segment_14,0.8734827041625977,0.4392758011817932,8.861181259155273,0.8976165056228638,11.57361888885498
