dataset,variant,readout_family,objective_variant,target_horizon,mse,mae,source_path,a6_lbf_r256_mse,a6_der_mse,best_stage_control_mse,best_stage_control_name,relative_mse_vs_a6_lbf_r256_pct,relative_mse_vs_a6_der_pct,relative_mse_vs_best_stage_control_pct,beats_best_stage_control
ETTh2,der_continuous_p4,der,continuous_p4,96,0.2437205463647842,0.3159446120262146,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_continuous_p4_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2420645654201507,0.2427635043859481,0.2404634952545166,a3e_best,0.6841071272696286,0.39422811153466686,1.3544887995661004,False
ETTh2,der_continuous_p4,der,continuous_p4,192,0.2854139506816864,0.3472938537597656,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_continuous_p4_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2828057408332824,0.2830275297164917,0.2772313058376312,h1_target_set,0.9222619882888194,0.8431762689605327,2.9515587423765144,False
ETTh2,der_continuous_p4,der,continuous_p4,336,0.3150704205036163,0.372161865234375,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_continuous_p4_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3128487765789032,0.3121205568313598,0.3026000261306762,a3d_w03,0.7101334865385889,0.9451039374668069,4.121081723752007,False
ETTh2,der_continuous_p4,der,continuous_p4,720,0.393633633852005,0.4290784299373626,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_continuous_p4_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3941730856895447,0.3935792744159698,0.3843011856079101,a3d_w03,-0.13685658841876558,0.013811559593901457,2.428420362360395,False
ETTh2,der_full,der,full,96,0.2490767240524292,0.3198215067386627,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2420645654201507,0.2427635043859481,0.2404634952545166,a3e_best,2.896813344037996,2.6005637389565184,3.5819278052146686,False
ETTh2,der_full,der,full,192,0.2959206998348236,0.3535189926624298,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2828057408332824,0.2830275297164917,0.2772313058376312,h1_target_set,4.637444403673774,4.5554473556854935,6.741444275466635,False
ETTh2,der_full,der,full,336,0.3266754150390625,0.3788105547428131,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3128487765789032,0.3121205568313598,0.3026000261306762,a3d_w03,4.419591667053258,4.663216788879043,7.956175422797052,False
ETTh2,der_full,der,full,720,0.4034159481525421,0.4353575408458709,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3941730856895447,0.3935792744159698,0.3843011856079101,a3d_w03,2.3448740663834178,2.499286516336241,4.973901528405422,False
ETTh2,der_stochastic_p1,der,stochastic_p1,96,0.2416534125804901,0.3145907521247864,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_stochastic_p1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2420645654201507,0.2427635043859481,0.2404634952545166,a3e_best,-0.16985255109394082,-0.45727293658323065,0.49484322961954597,False
ETTh2,der_stochastic_p1,der,stochastic_p1,192,0.2815476059913635,0.3448913991451263,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_stochastic_p1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2828057408332824,0.2830275297164917,0.2772313058376312,h1_target_set,-0.4448759909228883,-0.5228903798194517,1.5569310041270157,False
ETTh2,der_stochastic_p1,der,stochastic_p1,336,0.3111098706722259,0.370573341846466,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_stochastic_p1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3128487765789032,0.3121205568313598,0.3026000261306762,a3d_w03,-0.555829537098651,-0.32381275023803946,2.8122418396205884,False
ETTh2,der_stochastic_p1,der,stochastic_p1,720,0.397605836391449,0.4313646256923675,analysis/phase5_timealign_hss_a6_objective_drift_diagnostic_20260703/raw/official-last/TimeAlignOfficialUnified720_A6OD_der_stochastic_p1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3941730856895447,0.3935792744159698,0.3843011856079101,a3d_w03,0.8708739451094738,1.0230625028348372,3.4620374023808465,False
