diagnostic,dataset,alpha_val_fit,val_gain_vs_base_pct,test_gain_vs_base_pct,target_max_gap
dense_fcmi_blend,Weather,0.00000000,0.000000,0.000000,0.000e+00
dense_fcmi_blend,ETTm1,0.28049544,2.831331,-2.519590,0.000e+00
dense_fcmi_blend,ETTh1,0.00000000,0.000000,0.000000,0.000e+00
dense_fcmi_blend,ETTh2,1.00000000,6.513550,-9.198472,0.000e+00
dense_fcmi_blend,ETTm2,0.36427218,1.524445,-7.535248,0.000e+00
dense_fcmi_blend,MACRO,,2.173865,-3.850662,
dense_plus_fcmi_minus_standard,Weather,0.00000000,0.000000,0.000000,0.000e+00
dense_plus_fcmi_minus_standard,ETTm1,0.00000000,0.000000,0.000000,0.000e+00
dense_plus_fcmi_minus_standard,ETTh1,1.00000000,2.208935,-1.596798,0.000e+00
dense_plus_fcmi_minus_standard,ETTh2,1.00000000,1.428933,-2.607282,0.000e+00
dense_plus_fcmi_minus_standard,ETTm2,0.00000000,0.000000,0.000000,0.000e+00
dense_plus_fcmi_minus_standard,MACRO,,0.727574,-0.840816,
a6_plus_fcmi_minus_standard,Weather,0.00000000,0.000000,0.000000,0.000e+00
a6_plus_fcmi_minus_standard,ETTm1,0.00000000,0.000000,0.000000,0.000e+00
a6_plus_fcmi_minus_standard,ETTh1,1.00000000,1.954401,-1.546285,0.000e+00
a6_plus_fcmi_minus_standard,ETTh2,1.00000000,1.069567,-2.506785,0.000e+00
a6_plus_fcmi_minus_standard,ETTm2,0.00000000,0.000000,0.000000,0.000e+00
a6_plus_fcmi_minus_standard,MACRO,,0.604794,-0.810614,
a6_dense_valfit_blend,Weather,0.54443924,0.558761,-0.552311,0.000e+00
a6_dense_valfit_blend,ETTm1,0.00000000,0.000000,0.000000,0.000e+00
a6_dense_valfit_blend,ETTh1,0.95929410,1.962936,-0.946684,0.000e+00
a6_dense_valfit_blend,ETTh2,0.00000000,0.000000,0.000000,0.000e+00
a6_dense_valfit_blend,ETTm2,0.07740149,0.041900,0.645546,0.000e+00
a6_dense_valfit_blend,MACRO,,0.512719,-0.170690,
a6_dense_equal_blend,Weather,0.50000000,0.555038,-0.477920,0.000e+00
a6_dense_equal_blend,ETTm1,0.50000000,-0.519161,-0.360215,0.000e+00
a6_dense_equal_blend,ETTh1,0.50000000,1.512965,1.917529,0.000e+00
a6_dense_equal_blend,ETTh2,0.50000000,-2.346450,3.086136,0.000e+00
a6_dense_equal_blend,ETTm2,0.50000000,-1.207121,3.174226,0.000e+00
a6_dense_equal_blend,MACRO,0.50000000,-0.400946,1.467951,
