comparison,role,metric,dataset,horizon,candidate_value,reference_value,gain_percent
if_vs_a6,carrier_effectiveness,mse,Weather,96,0.15017488323186698,0.14280098390433107,-5.163759468545415
if_vs_a6,carrier_effectiveness,mse,Weather,192,0.19319294190413816,0.18398657557923903,-5.003825032296527
if_vs_a6,carrier_effectiveness,mse,Weather,336,0.24428822498843136,0.23405307602961206,-4.3730033941209
if_vs_a6,carrier_effectiveness,mse,Weather,720,0.3222445150648473,0.3045573192155346,-5.807509697967728
if_vs_a6,carrier_effectiveness,mse,ETTm1,96,0.3029898539436088,0.287551725814144,-5.368817761658318
if_vs_a6,carrier_effectiveness,mse,ETTm1,192,0.3362019261457822,0.3274844699633159,-2.661944910988545
if_vs_a6,carrier_effectiveness,mse,ETTm1,336,0.3718640682928217,0.3651728281194414,-1.8323488655600961
if_vs_a6,carrier_effectiveness,mse,ETTm1,720,0.45738723455086805,0.4214201815437537,-8.534724861860955
if_vs_a6,carrier_effectiveness,mse,ETTh1,96,0.3702589587468725,0.3580029001691447,-3.4234523161508434
if_vs_a6,carrier_effectiveness,mse,ETTh1,192,0.3963354762353972,0.3895088559213071,-1.7526226195661465
if_vs_a6,carrier_effectiveness,mse,ETTh1,336,0.41679704085335406,0.4092353839706897,-1.8477524619928687
if_vs_a6,carrier_effectiveness,mse,ETTh1,720,0.4796185965996587,0.4613577129774465,-3.958074853536675
if_vs_a6,carrier_effectiveness,mse,ETTh2,96,0.2510201112453293,0.2471837242444889,-1.5520386759145355
if_vs_a6,carrier_effectiveness,mse,ETTh2,192,0.2876355421641843,0.29248092182901353,1.6566481104233755
if_vs_a6,carrier_effectiveness,mse,ETTh2,336,0.3084379996413454,0.328793732314789,6.191034278583785
if_vs_a6,carrier_effectiveness,mse,ETTh2,720,0.39735086070117354,0.4082652449088857,2.6733561927731575
if_vs_a6,carrier_effectiveness,mse,ETTm2,96,0.17933798170373325,0.16118568345568354,-11.261731103457784
if_vs_a6,carrier_effectiveness,mse,ETTm2,192,0.2337447930787305,0.21725004419200847,-7.592518081213262
if_vs_a6,carrier_effectiveness,mse,ETTm2,336,0.28551709902683414,0.2717103614477961,-5.081417398096089
if_vs_a6,carrier_effectiveness,mse,ETTm2,720,0.3767774510342186,0.35036079535943987,-7.539843505514798
if_vs_a6,carrier_effectiveness,mae,Weather,96,0.19572838547642268,0.18364199391137656,-6.581496588889624
if_vs_a6,carrier_effectiveness,mae,Weather,192,0.23837493427083978,0.2255833944320902,-5.670426172525911
if_vs_a6,carrier_effectiveness,mae,Weather,336,0.2785858461777435,0.2664903742512376,-4.538802559188393
if_vs_a6,carrier_effectiveness,mae,Weather,720,0.33021020688076375,0.3157985113764761,-4.563572969825347
if_vs_a6,carrier_effectiveness,mae,ETTm1,96,0.3547341298216067,0.33716027000297877,-5.2123163320733745
if_vs_a6,carrier_effectiveness,mae,ETTm1,192,0.375125473825699,0.3596378126452837,-4.306460732395512
if_vs_a6,carrier_effectiveness,mae,ETTm1,336,0.39483352584725395,0.3798183875429982,-3.953241548253361
if_vs_a6,carrier_effectiveness,mae,ETTm1,720,0.44284375749613786,0.40877454614309705,-8.33447475497029
if_vs_a6,carrier_effectiveness,mae,ETTh1,96,0.4083869378767291,0.39327628242961,-3.842249360619321
if_vs_a6,carrier_effectiveness,mae,ETTh1,192,0.4258582513935277,0.4134015232724623,-3.0132274362364653
if_vs_a6,carrier_effectiveness,mae,ETTh1,336,0.44335981282928344,0.4299287161840598,-3.124028737702078
if_vs_a6,carrier_effectiveness,mae,ETTh1,720,0.49025604303560955,0.47247343605935826,-3.7637263005865895
if_vs_a6,carrier_effectiveness,mae,ETTh2,96,0.3271615273224675,0.32003032202248805,-2.228290511634201
if_vs_a6,carrier_effectiveness,mae,ETTh2,192,0.35502596626280464,0.3523946608196656,-0.7466927668593693
if_vs_a6,carrier_effectiveness,mae,ETTh2,336,0.3758188093030071,0.38228575798902126,1.6916530503341076
if_vs_a6,carrier_effectiveness,mae,ETTh2,720,0.43626116225128364,0.43770682928499244,0.3302820374245341
if_vs_a6,carrier_effectiveness,mae,ETTm2,96,0.2605984551067727,0.24593661566010439,-5.96163341002125
if_vs_a6,carrier_effectiveness,mae,ETTm2,192,0.2963114186537881,0.28531496226177055,-3.8541464158926564
if_vs_a6,carrier_effectiveness,mae,ETTm2,336,0.33025595028811994,0.32255349401833605,-2.3879624349522732
if_vs_a6,carrier_effectiveness,mae,ETTm2,720,0.3891174483180638,0.37786953028200376,-2.9766671124993094
if_vs_direct,structured_synthesis_attribution,mse,Weather,96,0.15017488323186698,0.1450964332087122,-3.5000515938594656
if_vs_direct,structured_synthesis_attribution,mse,Weather,192,0.19319294190413816,0.18687587097976757,-3.3803566459655654
if_vs_direct,structured_synthesis_attribution,mse,Weather,336,0.24428822498843136,0.23629543479523535,-3.3825410973860937
if_vs_direct,structured_synthesis_attribution,mse,Weather,720,0.3222445150648473,0.30999018715859183,-3.953134135818992
if_vs_direct,structured_synthesis_attribution,mse,ETTm1,96,0.3029898539436088,0.30111206973681653,-0.6236163858969412
if_vs_direct,structured_synthesis_attribution,mse,ETTm1,192,0.3362019261457822,0.3393876730546949,0.9386749024320906
if_vs_direct,structured_synthesis_attribution,mse,ETTm1,336,0.3718640682928217,0.3781872577643625,1.6719731671870908
if_vs_direct,structured_synthesis_attribution,mse,ETTm1,720,0.45738723455086805,0.44004614092183214,-3.9407443939194264
if_vs_direct,structured_synthesis_attribution,mse,ETTh1,96,0.3702589587468725,0.3776357138754495,1.953405056125057
if_vs_direct,structured_synthesis_attribution,mse,ETTh1,192,0.3963354762353972,0.40072417238111335,1.0951912682577558
if_vs_direct,structured_synthesis_attribution,mse,ETTh1,336,0.41679704085335406,0.4180742445814511,0.305496869192623
if_vs_direct,structured_synthesis_attribution,mse,ETTh1,720,0.4796185965996587,0.46832012225335307,-2.4125536805769343
if_vs_direct,structured_synthesis_attribution,mse,ETTh2,96,0.2510201112453293,0.2521451362604073,0.4461815253561374
if_vs_direct,structured_synthesis_attribution,mse,ETTh2,192,0.2876355421641843,0.28891203947807736,0.4418290481071896
if_vs_direct,structured_synthesis_attribution,mse,ETTh2,336,0.3084379996413454,0.31558457353894653,2.264551089256328
if_vs_direct,structured_synthesis_attribution,mse,ETTh2,720,0.39735086070117354,0.40387410415879244,1.615167546135643
if_vs_direct,structured_synthesis_attribution,mse,ETTm2,96,0.17933798170373325,0.17204869381028018,-4.236758636186466
if_vs_direct,structured_synthesis_attribution,mse,ETTm2,192,0.2337447930787305,0.23116014645797275,-1.1181194770646385
if_vs_direct,structured_synthesis_attribution,mse,ETTm2,336,0.28551709902683414,0.2863689331517613,0.29746038285366483
if_vs_direct,structured_synthesis_attribution,mse,ETTm2,720,0.3767774510342186,0.3744137575698729,-0.6313051848541251
if_vs_direct,structured_synthesis_attribution,mae,Weather,96,0.19572838547642268,0.18821464721315048,-3.992111333802306
if_vs_direct,structured_synthesis_attribution,mae,Weather,192,0.23837493427083978,0.23078181141090204,-3.290173871812785
if_vs_direct,structured_synthesis_attribution,mae,Weather,336,0.2785858461777435,0.27066217116653535,-2.927514760211114
if_vs_direct,structured_synthesis_attribution,mae,Weather,720,0.33021020688076375,0.3216090301237022,-2.6744201659242073
if_vs_direct,structured_synthesis_attribution,mae,ETTm1,96,0.3547341298216067,0.34692118564956587,-2.2520804422514695
if_vs_direct,structured_synthesis_attribution,mae,ETTm1,192,0.375125473825699,0.36970415585728034,-1.46639356970375
if_vs_direct,structured_synthesis_attribution,mae,ETTm1,336,0.39483352584725395,0.39097679537181407,-0.9864346224875531
if_vs_direct,structured_synthesis_attribution,mae,ETTm1,720,0.44284375749613786,0.4231582682543377,-4.6520393712284225
if_vs_direct,structured_synthesis_attribution,mae,ETTh1,96,0.4083869378767291,0.4037646911850339,-1.144787246782042
if_vs_direct,structured_synthesis_attribution,mae,ETTh1,192,0.4258582513935277,0.4187034179339118,-1.708807034564308
if_vs_direct,structured_synthesis_attribution,mae,ETTh1,336,0.44335981282928344,0.4321206885949207,-2.600922504059633
if_vs_direct,structured_synthesis_attribution,mae,ETTh1,720,0.49025604303560955,0.4708424402478764,-4.12316331924385
if_vs_direct,structured_synthesis_attribution,mae,ETTh2,96,0.3271615273224675,0.3276462711905987,0.14794731719964815
if_vs_direct,structured_synthesis_attribution,mae,ETTh2,192,0.35502596626280464,0.3546833062261246,-0.09661013943000896
if_vs_direct,structured_synthesis_attribution,mae,ETTh2,336,0.3758188093030071,0.37792526904071877,0.5573746743790076
if_vs_direct,structured_synthesis_attribution,mae,ETTh2,720,0.43626116225128364,0.43792809177706643,0.3806400085042627
if_vs_direct,structured_synthesis_attribution,mae,ETTm2,96,0.2605984551067727,0.25415275193189796,-2.536153209390357
if_vs_direct,structured_synthesis_attribution,mae,ETTm2,192,0.2963114186537881,0.29318719434985824,-1.0656073539834443
if_vs_direct,structured_synthesis_attribution,mae,ETTm2,336,0.33025595028811994,0.33188525193420537,0.49092318401916524
if_vs_direct,structured_synthesis_attribution,mae,ETTm2,720,0.3891174483180638,0.3881376693599995,-0.2524307830465977
if_vs_noskip,history_spectrum_skip_attribution,mse,Weather,96,0.15017488323186698,0.15323228193169883,1.9952706187555402
if_vs_noskip,history_spectrum_skip_attribution,mse,Weather,192,0.19319294190413816,0.19818181112042074,2.5173194190112658
if_vs_noskip,history_spectrum_skip_attribution,mse,Weather,336,0.24428822498843136,0.24968015661138993,2.1595355017942963
if_vs_noskip,history_spectrum_skip_attribution,mse,Weather,720,0.3222445150648473,0.3279002638491467,1.7248381315427608
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTm1,96,0.3029898539436088,0.2872274904329961,-5.487762848483224
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTm1,192,0.3362019261457822,0.3248727281878661,-3.487272699407584
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTm1,336,0.3718640682928217,0.36271254505233663,-2.5230787755534
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTm1,720,0.45738723455086805,0.4405312269176727,-3.8262912146169947
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTh1,96,0.3702589587468725,0.3815712784454969,2.964667504511931
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTh1,192,0.3963354762353972,0.40563218330716466,2.2919056855820297
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTh1,336,0.41679704085335406,0.4204928629330614,0.8789262328801173
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTh1,720,0.4796185965996587,0.48378937903464614,0.8621070688467403
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTh2,96,0.2510201112453293,0.2567665347414458,2.237995501206147
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTh2,192,0.2876355421641843,0.29357885416442603,2.02443463346752
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTh2,336,0.3084379996413454,0.31114875404598735,0.8712085037760775
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTh2,720,0.39735086070117354,0.39739508443283633,0.011128404299698413
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTm2,96,0.17933798170373325,0.19862144446576419,9.7086509535252
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTm2,192,0.2337447930787305,0.25619742149995745,8.76379952997719
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTm2,336,0.28551709902683414,0.3053228801990594,6.48683163191458
if_vs_noskip,history_spectrum_skip_attribution,mse,ETTm2,720,0.3767774510342186,0.3852865648250141,2.2085155745464657
if_vs_noskip,history_spectrum_skip_attribution,mae,Weather,96,0.19572838547642268,0.1966972253208191,0.4925538948585606
if_vs_noskip,history_spectrum_skip_attribution,mae,Weather,192,0.23837493427083978,0.23949878731036137,0.4692520793707411
if_vs_noskip,history_spectrum_skip_attribution,mae,Weather,336,0.2785858461777435,0.27996503091796016,0.4926275026900795
if_vs_noskip,history_spectrum_skip_attribution,mae,Weather,720,0.33021020688076375,0.33073070091065854,0.15737699235711666
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTm1,96,0.3547341298216067,0.34602361184023156,-2.5173189583943767
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTm1,192,0.375125473825699,0.3687120224467792,-1.73942019475255
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTm1,336,0.39483352584725395,0.3895386768602691,-1.3592614293558736
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTm1,720,0.44284375749613786,0.4331169819387529,-2.245761760216647
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTh1,96,0.4083869378767291,0.4193809964363414,2.6214965992816808
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTh1,192,0.4258582513935277,0.4367023041518406,2.4831682029647473
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTh1,336,0.44335981282928344,0.4495783254932789,1.3831878254300878
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTh1,720,0.49025604303560955,0.49673117467862765,1.3035484731167446
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTh2,96,0.3271615273224675,0.32966169186749444,0.7584031164991623
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTh2,192,0.35502596626280464,0.3580092735357059,0.8333044681882229
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTh2,336,0.3758188093030071,0.3760866757642183,0.07122466135416339
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTh2,720,0.43626116225128364,0.43403138492042415,-0.5137364274402145
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTm2,96,0.2605984551067727,0.27396942749373415,4.880461484070975
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTm2,192,0.2963114186537881,0.3104197062026145,4.544907190788261
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTm2,336,0.33025595028811994,0.3433830316820358,3.8228683955680243
if_vs_noskip,history_spectrum_skip_attribution,mae,ETTm2,720,0.3891174483180638,0.3970040315961646,1.9865247328579083
