dataset,arm,horizon,mse,mae,seed
Weather,a6_measure,96,0.14280098390433107,0.18364199391137656,2021
Weather,a6_measure,192,0.18398657557923903,0.2255833944320902,2021
Weather,a6_measure,336,0.23405307602961206,0.2664903742512376,2021
Weather,a6_measure,720,0.3045573192155346,0.3157985113764761,2021
Weather,if_measure,96,0.15017488323186698,0.19572838547642268,2021
Weather,if_measure,192,0.19319294190413816,0.23837493427083978,2021
Weather,if_measure,336,0.24428822498843136,0.2785858461777435,2021
Weather,if_measure,720,0.3222445150648473,0.33021020688076375,2021
Weather,if_noskip_measure,96,0.15323228193169883,0.1966972253208191,2021
Weather,if_noskip_measure,192,0.19818181112042074,0.23949878731036137,2021
Weather,if_noskip_measure,336,0.24968015661138993,0.27996503091796016,2021
Weather,if_noskip_measure,720,0.3279002638491467,0.33073070091065854,2021
Weather,direct_nonlinear_matched_measure,96,0.1450964332087122,0.18821464721315048,2021
Weather,direct_nonlinear_matched_measure,192,0.18687587097976757,0.23078181141090204,2021
Weather,direct_nonlinear_matched_measure,336,0.23629543479523535,0.27066217116653535,2021
Weather,direct_nonlinear_matched_measure,720,0.30999018715859183,0.3216090301237022,2021
ETTm1,a6_measure,96,0.287551725814144,0.33716027000297877,2021
ETTm1,a6_measure,192,0.3274844699633159,0.3596378126452837,2021
ETTm1,a6_measure,336,0.3651728281194414,0.3798183875429982,2021
ETTm1,a6_measure,720,0.4214201815437537,0.40877454614309705,2021
ETTm1,if_measure,96,0.3029898539436088,0.3547341298216067,2021
ETTm1,if_measure,192,0.3362019261457822,0.375125473825699,2021
ETTm1,if_measure,336,0.3718640682928217,0.39483352584725395,2021
ETTm1,if_measure,720,0.45738723455086805,0.44284375749613786,2021
ETTm1,if_noskip_measure,96,0.2872274904329961,0.34602361184023156,2021
ETTm1,if_noskip_measure,192,0.3248727281878661,0.3687120224467792,2021
ETTm1,if_noskip_measure,336,0.36271254505233663,0.3895386768602691,2021
ETTm1,if_noskip_measure,720,0.4405312269176727,0.4331169819387529,2021
ETTm1,direct_nonlinear_matched_measure,96,0.30111206973681653,0.34692118564956587,2021
ETTm1,direct_nonlinear_matched_measure,192,0.3393876730546949,0.36970415585728034,2021
ETTm1,direct_nonlinear_matched_measure,336,0.3781872577643625,0.39097679537181407,2021
ETTm1,direct_nonlinear_matched_measure,720,0.44004614092183214,0.4231582682543377,2021
ETTh1,a6_measure,96,0.3580029001691447,0.39327628242961,2021
ETTh1,a6_measure,192,0.3895088559213071,0.4134015232724623,2021
ETTh1,a6_measure,336,0.4092353839706897,0.4299287161840598,2021
ETTh1,a6_measure,720,0.4613577129774465,0.47247343605935826,2021
ETTh1,if_measure,96,0.3702589587468725,0.4083869378767291,2021
ETTh1,if_measure,192,0.3963354762353972,0.4258582513935277,2021
ETTh1,if_measure,336,0.41679704085335406,0.44335981282928344,2021
ETTh1,if_measure,720,0.4796185965996587,0.49025604303560955,2021
ETTh1,if_noskip_measure,96,0.3815712784454969,0.4193809964363414,2021
