dataset,arm,status,protocol_pass,checkpoint_sha256,full_prefix_max_abs,all_finite,encoder_initialization_hash,decoder_initialization_hash,run_dir,amplitude_std,phase_radius_mean,if_internal_finite
Weather,a6_measure,ok,True,d55d81b75735056a9016f6f3217127bca9c0c71cdcb5ac18045b1736c7846489,3.5762786865234375e-07,True,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/a6_measure/Weather/h720_full/seed2021,,,
Weather,if_measure,ok,True,5fe2ba36193759d35f003148eb33c535ffb929f9b395a7cc095eccd7c241a5a5,0.0,True,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,edc3a2d7a604e9f30b4d29f61a6610d8228f9c250535be7006d948f25368bf98,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/if_measure/Weather/h720_full/seed2021,1.446545124053955,0.7951152920722961,True
Weather,if_noskip_measure,ok,True,75a9772fdf67d5b42aefc4b6a63332f020c71906fec7b2344521e4406060d997,0.0,True,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,edc3a2d7a604e9f30b4d29f61a6610d8228f9c250535be7006d948f25368bf98,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/if_noskip_measure/Weather/h720_full/seed2021,1.6639385223388672,0.5374382138252258,True
Weather,direct_nonlinear_matched_measure,ok,True,78753bbfe6db89639eec11f8e10174fdcef08fc27b09f20b789b9e3e277cc860,0.0,True,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,bb35e677743f86bc344ee9477eaa60cb70132b81a7c0831d7063b740d5d24c60,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/direct_nonlinear_matched_measure/Weather/h720_full/seed2021,,,
ETTm1,a6_measure,ok,True,2492d7c6f840fa69117201b957f7dc6b37bcaea0df44ad26f479b1e2495dae03,5.960464477539063e-08,True,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/a6_measure/ETTm1/h720_full/seed2021,,,
ETTm1,if_measure,ok,True,7d426b508e5a887bd457cca662ca37e85ca02d2f79955eb4ac78a108c40dd887,0.0,True,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,6ce0908bfb8d96100e58577be98e62ae1e2947aa104cb141991055665303a89b,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/if_measure/ETTm1/h720_full/seed2021,0.773786187171936,0.8709706664085388,True
ETTm1,if_noskip_measure,ok,True,e829ed9e24ac828a29baf784fd892d36d194815cfe9663c452d2f8afa823dca6,0.0,True,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,6ce0908bfb8d96100e58577be98e62ae1e2947aa104cb141991055665303a89b,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/if_noskip_measure/ETTm1/h720_full/seed2021,0.9060668349266052,0.48855361342430115,True
ETTm1,direct_nonlinear_matched_measure,ok,True,8b3d35e85e0fba5cba5973805b3eeeb227077a26dc24bce687cfe2d126240b58,0.0,True,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,d6bd1fc4154aec35efb5b82f4cb76fe37e50a20d604fe49fb6be8d3a65af308a,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/direct_nonlinear_matched_measure/ETTm1/h720_full/seed2021,,,
ETTh1,a6_measure,ok,True,5cfa4eb8bd58d0c524afe747aa58665e18e9ef0490ff082d5355d9ba059c6e69,3.5762786865234375e-07,True,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/a6_measure/ETTh1/h720_full/seed2021,,,
ETTh1,if_measure,ok,True,10cabe905d184234f5fb141a8a31a2adf33357d11a1a72b5c2286059187b8f88,0.0,True,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,083816e845b3d53c7864013c9214d4b7d3eada34134143d3d6ea8c0e72e83760,/home/yingch/exp_outputs/r-2026-fatst/stage_c_d19_if_control_v1_1/if_measure/ETTh1/h720_full/seed2021,0.8845391869544983,0.6483935117721558,True
