dataset,paired_encoder_initialization,if_no_skip_identical_decoder_initialization,if_noskip_prediction_nrmse,if_direct_prediction_nrmse,if_amplitude_std,if_phase_radius_mean,if_internal_finite,max_prefix_abs,all_finite
Weather,True,True,0.23567670583724976,0.39370420575141907,1.446545124053955,0.7951152920722961,True,3.5762786865234375e-07,True
ETTm1,True,True,0.24097083508968353,0.3177170753479004,0.773786187171936,0.8709706664085388,True,5.960464477539063e-08,True
ETTh1,True,True,0.41283589601516724,0.4442031681537628,0.8845391869544983,0.6483935117721558,True,3.5762786865234375e-07,True
ETTh2,True,True,0.07802412658929825,0.1086539477109909,1.022713541984558,0.6910286545753479,True,2.384185791015625e-07,True
ETTm2,True,True,0.09904822707176208,0.11224208772182465,1.0593990087509155,0.8108490109443665,True,2.9802322387695312e-08,True
