dataset,family,path_count,settings,wins_as_best,within_0p2pct_best,mean_gap_to_best_pct,mean_relative_vs_fixed_pct,mean_relative_vs_h1_pct
ETTh2,dense_target_set,2,8,1,1,1.1001009752211495,-12.033836308683556,0.7224720560113002
ETTh2,fixed,1,4,0,0,15.419564342863358,0.0,15.010386240165635
ETTh2,primary_nested,2,8,0,0,2.329889980961275,-10.993459027102691,1.9504604741429425
ETTh2,target_conditioned_nested,2,8,1,1,1.286099664371898,-11.880522266321378,0.909197102750034
ETTh2,teacher_preserved_nested,1,4,2,2,0.1991713246738358,-12.819104814115862,-0.17354353469529737
ETTm1,dense_target_set,2,8,0,1,0.7918787257237964,-1.2547314104662783,-0.04729670281959364
ETTm1,fixed,1,4,1,1,2.096864605785992,0.0,1.2441412507465999
ETTm1,primary_nested,2,8,3,5,0.35935309445915,-1.6751440666991608,-0.47475780023130687
ETTm1,target_conditioned_nested,2,8,0,3,0.48812285419907175,-1.549512863184539,-0.34720756295296973
ETTm1,teacher_preserved_nested,1,4,0,0,0.9193038655295527,-1.1286279324896369,0.0795366481125881
Weather,dense_target_set,2,8,0,6,0.27522329744358864,-0.11164626183540749,0.003769403064107779
Weather,fixed,1,4,2,2,0.3901127524788883,0.0,0.12002278114679188
Weather,primary_nested,2,8,2,3,0.3317999217187173,-0.0556708003410844,0.06054521920384054
Weather,target_conditioned_nested,2,8,0,5,0.2783527178273931,-0.10871361612618397,0.007040710421425678
Weather,teacher_preserved_nested,1,4,0,3,0.19721445625438538,-0.1895620526904923,-0.07394569674820106
ALL,dense_target_set,2,24,1,8,0.722400999462845,-4.466737993661748,0.22631491875193813
ALL,fixed,1,12,3,3,5.968847233709414,0.0,5.458183424019675
ALL,primary_nested,2,24,5,8,1.0070143323797143,-4.241424631380979,0.5120826310384922
ALL,target_conditioned_nested,2,24,1,9,0.6841917454661209,-4.512916248544033,0.18967675007282994
ALL,teacher_preserved_nested,1,12,2,5,0.43856321548592464,-4.71243159976533,-0.05598419444363678
