dataset,oracle_settings,oracle_mean_mse,best_static_path,best_static_mean_mse,oracle_relative_vs_best_static_pct,oracle_relative_vs_h1_pct,oracle_relative_vs_fixed_pct
ETTh2,4,0.30114900320768356,a3d_teacher_preserved,0.3016483671963215,-0.16554506602481922,-0.43026714765658225,-12.865485742564264
ETTm1,4,0.3330468386411667,a3c_warm_nested,0.3331914395093918,-0.043398734504707104,-0.7617896573411831,-1.8484206734840303
Weather,4,0.2144162617623806,a2_nested,0.21469474956393242,-0.12971337311110664,-0.20507772438645988,-0.5135922956212235
ALL,12,0.28287070120374364,a3d_teacher_preserved,0.28409555306037265,-0.43114080577274505,-0.5039871704160981,-5.7575119043325795
