dataset,target_horizon,best_path,best_family,best_mse,second_path,second_mse,best_margin_vs_second_pct,best_relative_vs_fixed_pct,best_relative_vs_h1_pct
ETTh2,96,a3e_target_conditioned_scratch,target_conditioned_nested,0.2404634952545166,h1_target_set,0.24098174273967743,-0.21505674217016102,-10.844652590302129,-0.21505674217016102
ETTh2,192,h1_target_set,dense_target_set,0.2772313058376312,a3d_teacher_preserved,0.2778474688529968,-0.22176304787271395,-17.14513857776646,0.0
ETTh2,336,a3d_teacher_preserved,teacher_preserved_nested,0.30260002613067627,h1_target_set,0.30352982878685,-0.3063299115905527,-19.28339329302102,-0.3063299115905527
ETTh2,720,a3d_teacher_preserved,teacher_preserved_nested,0.38430118560791016,a3e_target_conditioned_warm,0.3863719701766968,-0.5359562102394744,-4.699519137499775,-0.9682374346281386
ETTm1,96,a3c_warm_nested,primary_nested,0.2705991566181183,a3e_target_conditioned_warm,0.2713322937488556,-0.27019899496957267,-2.8716289940104334,-1.621749004277595
ETTm1,192,a3c_warm_nested,primary_nested,0.3081844747066498,a3e_target_conditioned_warm,0.3087998032569885,-0.19926455387883069,-4.325158207426294,-0.8471131771701335
ETTm1,336,a3c_warm_nested,primary_nested,0.3466947674751282,a3e_target_conditioned_warm,0.34720441699028015,-0.14678658744317064,-0.9020331822817473,-0.5688946858061761
ETTm1,720,fixed_specialist,fixed,0.4067089557647705,h1c_row_gated,0.40703916549682617,-0.08112480568119862,0.0,-0.28171541701027536
Weather,96,fixed_specialist,fixed,0.14042679965496063,a2_nested,0.14129404723644257,-0.6137891853509436,0.0,-0.8247726460719029
Weather,192,fixed_specialist,fixed,0.1822342574596405,a3d_teacher_preserved,0.18227648735046387,-0.023168040726051498,0.0,-0.10345363606653057
Weather,336,a2_nested,primary_nested,0.2316667139530182,a3e_target_conditioned_scratch,0.2316729873418808,-0.0027078637585664644,-0.42484504479600727,-0.07286177742886757
Weather,720,a2_nested,primary_nested,0.3033372759819031,a3e_target_conditioned_scratch,0.3035188615322113,-0.059826776297045026,-1.1210825716789552,-0.07807573788346511
