dataset,target_horizon,path_id,family,mse,mae,source_path,relative_vs_setting_best_pct,relative_vs_fixed_pct,relative_vs_h1_pct,is_best,within_0p2pct_of_best
ETTm1,192,a3c_warm_nested,primary_nested,0.3081844747066498,0.3515212833881378,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3c/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.0,-4.325158207426294,-0.8471131771701335,True,True
ETTm1,192,a3e_target_conditioned_warm,target_conditioned_nested,0.3087998032569885,0.35163816809654236,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3e/official-last/TimeAlignOfficialUnified720_A3E_target_conditioned_nested_warm_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.19966241028996912,-4.13413151226213,-0.6491421334675951,False,True
ETTm1,192,a2_nested,primary_nested,0.3103426694869995,0.3534175157546997,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a2/official-last/TimeAlignOfficialUnified720_A2_nested_segment_decoder_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.7002931547424707,-3.6551538395422023,-0.15275229802029777,False,False
ETTm1,192,h1c_row_gated,dense_target_set,0.3106001913547516,0.3535251319408417,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/h1c/official-last/TimeAlignOfficialUnified720_H1C_row_gated_dense_head_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.7838541024499213,-3.5752070350227316,-0.0698992061118564,False,False
ETTm1,192,a3e_target_conditioned_scratch,target_conditioned_nested,0.31070253252983093,0.3534335792064667,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3e/official-last/TimeAlignOfficialUnified720_A3E_target_conditioned_nested_scratch_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.8170618671099472,-3.5434355587213973,-0.036972748802099886,False,False
ETTm1,192,h1_target_set,dense_target_set,0.3108174502849579,0.3530823588371277,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/h1/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.8543504927736256,-3.507759725111037,0.0,False,False
ETTm1,192,a3d_teacher_preserved,teacher_preserved_nested,0.3109908998012543,0.3530117869377136,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3d/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.910631561591746,-3.453912901560141,0.05580430446789908,False,False
ETTm1,192,fixed_specialist,fixed,0.32211652398109436,0.3559790849685669,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH192_official-last/ETTm1/mixed_h192/seed2021/metrics_by_target_horizon.csv,4.520684985090839,0.0,3.635276489713646,False,False
ETTm1,336,a3c_warm_nested,primary_nested,0.3466947674751282,0.37271204590797424,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3c/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.0,-0.9020331822817473,-0.5688946858061761,True,True
ETTm1,336,a3e_target_conditioned_warm,target_conditioned_nested,0.34720441699028015,0.3727342188358307,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3e/official-last/TimeAlignOfficialUnified720_A3E_target_conditioned_nested_warm_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.1470023672014431,-0.7563568252112018,-0.42272860725975914,False,True
ETTm1,336,a2_nested,primary_nested,0.3480865955352783,0.37425497174263,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a2/official-last/TimeAlignOfficialUnified720_A2_nested_segment_decoder_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.4014563214456368,-0.5041981300679232,-0.169722228039082,False,False
ETTm1,336,h1c_row_gated,dense_target_set,0.3482396900653839,0.374249130487442,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/h1c/official-last/TimeAlignOfficialUnified720_H1C_row_gated_dense_head_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.4456146256567317,-0.46043814841354447,-0.12581513807399247,False,False
ETTm1,336,a3e_target_conditioned_scratch,target_conditioned_nested,0.3482643663883209,0.3741178512573242,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3e/official-last/TimeAlignOfficialUnified720_A3E_target_conditioned_nested_scratch_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.45273221878243675,-0.45338475833961445,-0.11873803655733095,False,False
ETTm1,336,h1_target_set,dense_target_set,0.3486783802509308,0.3739105761051178,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/h1/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.5721496145582705,-0.3350445470990948,0.0,False,False
ETTm1,336,a3d_teacher_preserved,teacher_preserved_nested,0.3489927351474762,0.3738940954208374,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3d/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.662821561768423,-0.24519049093980616,0.09015611932094991,False,False
ETTm1,336,fixed_specialist,fixed,0.34985053539276123,0.374874472618103,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH336_official-last/ETTm1/mixed_h336/seed2021/metrics_by_target_horizon.csv,0.9102438841565252,0.0,0.3361708692655174,False,False
ETTm1,720,fixed_specialist,fixed,0.4067089557647705,0.4056112468242645,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH720_official-last/ETTm1/mixed_h720/seed2021/metrics_by_target_horizon.csv,0.0,0.0,-0.28171541701027536,True,True
ETTm1,720,h1c_row_gated,dense_target_set,0.40703916549682617,0.4050024449825287,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/h1c/official-last/TimeAlignOfficialUnified720_H1C_row_gated_dense_head_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.08119067145564429,0.08119067145564429,-0.20075347219329354,False,True
ETTm1,720,a2_nested,primary_nested,0.40704968571662903,0.4050752818584442,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a2/official-last/TimeAlignOfficialUnified720_A2_nested_segment_decoder_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.08377734176465701,0.08377734176465701,-0.19817408893333388,False,True
ETTm1,720,a3c_warm_nested,primary_nested,0.4072873592376709,0.4037076532840729,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3c/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.14221557325011513,0.14221557325011513,-0.13990048695541324,False,True
ETTm1,720,a3e_target_conditioned_scratch,target_conditioned_nested,0.40743815898895264,0.4049670696258545,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3e/official-last/TimeAlignOfficialUnified720_A3E_target_conditioned_nested_scratch_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.17929362357191891,0.17929362357191891,-0.10292689121769172,False,True
ETTm1,720,a3e_target_conditioned_warm,target_conditioned_nested,0.4076308310031891,0.4036690592765808,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3e/official-last/TimeAlignOfficialUnified720_A3E_target_conditioned_nested_warm_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.22666706138425585,0.22666706138425585,-0.055686911683228146,False,False
ETTm1,720,h1_target_set,dense_target_set,0.4078579545021057,0.4046989381313324,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/h1/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.28251129488277016,0.28251129488277016,0.0,False,False
ETTm1,720,a3d_teacher_preserved,teacher_preserved_nested,0.4085318148136139,0.40480607748031616,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3d/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.4481974205401196,0.4481974205401196,0.16521936229754175,False,False
Weather,96,fixed_specialist,fixed,0.14042679965496063,0.1782880425453186,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH96_official-last/Weather/mixed_h96/seed2021/metrics_by_target_horizon.csv,0.0,0.0,-0.8247726460719029,True,True
Weather,96,a2_nested,primary_nested,0.14129404723644257,0.18136288225650787,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a2/official-last/TimeAlignOfficialUnified720_A2_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6175798235185992,0.6175798235185992,-0.21228645200533913,False,False
Weather,96,a3d_teacher_preserved,teacher_preserved_nested,0.14134001731872559,0.18091459572315216,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3d/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.650315798699963,0.650315798699963,-0.17982047419270453,False,False
Weather,96,a3c_warm_nested,primary_nested,0.14135439693927765,0.18144558370113373,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3c/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6605557390727324,0.6605557390727324,-0.16966499004710256,False,False
Weather,96,a3e_target_conditioned_scratch,target_conditioned_nested,0.14138707518577576,0.18093807995319366,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3e/official-last/TimeAlignOfficialUnified720_A3E_target_conditioned_nested_scratch_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.6838264014950024,0.6838264014950024,-0.14658625768304567,False,False
Weather,96,a3e_target_conditioned_warm,target_conditioned_nested,0.14141488075256348,0.18112167716026306,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/a3e/official-last/TimeAlignOfficialUnified720_A3E_target_conditioned_nested_warm_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.7036271566614349,0.7036271566614349,-0.1269488137289554,False,False
Weather,96,h1c_row_gated,dense_target_set,0.14142470061779022,0.18148498237133026,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/h1c/official-last/TimeAlignOfficialUnified720_H1C_row_gated_dense_head_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.7106200278589991,0.7106200278589991,-0.1200136178201916,False,False
Weather,96,h1_target_set,dense_target_set,0.14159463346004486,0.18111535906791687,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/h1/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.8316317169897003,0.8316317169897003,0.0,False,False
Weather,192,fixed_specialist,fixed,0.1822342574596405,0.22007882595062256,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH192_official-last/Weather/mixed_h192/seed2021/metrics_by_target_horizon.csv,0.0,0.0,-0.10345363606653057,True,True
