dataset,carrier_skill_relative_gain,canonical_oracle_relative_gain,canonical_vs_random_oracle_relative_gain,canonical_vs_shifted_oracle_relative_gain,stable_crossing,stable_crossing_pairs,severe_degradation,max_pca_orthogonality_gap,max_feature_condition_number,all_finite
ETTh1,0.13235004505671843,0.0005154547527059888,-0.0017237126644635995,-1.824623511186708e-05,False,,False,1.5543122344752192e-15,1.0000000000000104,True
ETTh2,0.14356413394421963,0.0007404001827736676,-0.001960397471646065,-1.133513792395978e-05,False,,False,2.4424906541753444e-15,1.000000000000045,True
ETTm1,0.22133034771490423,0.0004235121607913366,-0.001402836116611639,-4.068997118654103e-06,False,,False,2.220446049250313e-15,1.000000000000017,True
ETTm2,0.15884425009773032,0.0012496169113954958,-0.0020471014949336543,-1.0749024982848203e-05,False,,False,1.4432899320127035e-15,1.0000000000000804,True
Weather,-0.00016183744508957575,2.5544798944993097e-07,-5.83860611445151e-07,-5.508773956359573e-09,False,,False,1.7763568394002505e-15,1.0000000000002047,True
