dataset,fold,pair,left_scale,right_scale,short_relative_gain_left_vs_right,mid_relative_gain_left_vs_right,long_relative_gain_left_vs_right,max_relative_gain,min_relative_gain,crossing
ETTh1,2021,s1_vs_s48,1,48,-0.00011767220607493635,-6.350829548903422e-05,-6.314793472915542e-05,-6.314793472915542e-05,-0.00011767220607493635,False
ETTh1,2021,s1_vs_s144,1,144,-0.00012764396889934572,-6.338991748995083e-05,-6.958940904602675e-05,-6.338991748995083e-05,-0.00012764396889934572,False
ETTh1,2021,s1_vs_s360,1,360,-0.00010992792398446386,-4.242734473097559e-05,-3.6507814276845564e-05,-3.6507814276845564e-05,-0.00010992792398446386,False
ETTh1,2021,s1_vs_s720,1,720,3.488512417204754e-05,6.110980725484386e-05,-0.00010669697992846255,6.110980725484386e-05,-0.00010669697992846255,False
ETTh1,2021,s48_vs_s144,48,144,-9.970589563139595e-06,1.1837048157585598e-07,-6.441067576756416e-06,1.1837048157585598e-07,-9.970589563139595e-06,False
ETTh1,2021,s48_vs_s360,48,360,7.743370910934952e-06,2.1079612027829163e-05,2.6638438289947428e-05,2.6638438289947428e-05,7.743370910934952e-06,False
ETTh1,2021,s48_vs_s720,48,720,0.0001525393806015552,0.00012461018896317647,-4.3546295340691274e-05,0.0001525393806015552,-4.3546295340691274e-05,False
ETTh1,2021,s144_vs_s360,144,360,1.7713783857206094e-05,2.096124402744586e-05,3.307929280074352e-05,3.307929280074352e-05,1.7713783857206094e-05,False
ETTh1,2021,s144_vs_s720,144,720,0.00016250834986063776,0.00012449183321775885,-3.7104988768194765e-05,0.00016250834986063776,-3.7104988768194765e-05,False
ETTh1,2021,s360_vs_s720,360,720,0.0001447971309085117,0.0001035327593657469,-7.018660329213928e-05,0.0001447971309085117,-7.018660329213928e-05,False
ETTh1,2022,s1_vs_s48,1,48,-0.00014755690109833865,-7.996189865810215e-05,-6.365702323991562e-05,-6.365702323991562e-05,-0.00014755690109833865,False
ETTh1,2022,s1_vs_s144,1,144,-0.00013403163907927873,-8.067906378662864e-05,-5.2641881780384454e-05,-5.2641881780384454e-05,-0.00013403163907927873,False
ETTh1,2022,s1_vs_s360,1,360,-0.0001149579848639998,-8.605647019824903e-05,-5.7525397485676185e-05,-5.7525397485676185e-05,-0.0001149579848639998,False
ETTh1,2022,s1_vs_s720,1,720,2.482799569831911e-06,-0.0001126637723552463,-0.00015535392827917114,2.482799569831911e-06,-0.00015535392827917114,False
ETTh1,2022,s48_vs_s144,48,144,1.3523266567752446e-05,-7.17107787226284e-07,1.1014440313048185e-05,1.3523266567752446e-05,-7.17107787226284e-07,False
ETTh1,2022,s48_vs_s360,48,360,3.2594106748952905e-05,-6.094084245600026e-06,6.131235458041398e-06,3.2594106748952905e-05,-6.094084245600026e-06,False
ETTh1,2022,s48_vs_s720,48,720,0.00015001756454123652,-3.269925900230961e-05,-9.169106825879247e-05,0.00015001756454123652,-9.169106825879247e-05,False
ETTh1,2022,s144_vs_s360,144,360,1.9071098084743595e-05,-5.376972602504817e-06,-4.883258641367626e-06,1.9071098084743595e-05,-5.376972602504817e-06,False
ETTh1,2022,s144_vs_s720,144,720,0.0001364961438472228,-3.1982128280450085e-05,-0.00010270663982799479,0.0001364961438472228,-0.00010270663982799479,False
ETTh1,2022,s360_vs_s720,360,720,0.00011742728522975365,-2.66050126235213e-05,-9.782290349208837e-05,0.00011742728522975365,-9.782290349208837e-05,False
ETTh1,2023,s1_vs_s48,1,48,-0.00013740499566865819,-6.828482536336983e-05,-5.043961019556546e-05,-5.043961019556546e-05,-0.00013740499566865819,False
ETTh1,2023,s1_vs_s144,1,144,-0.00012484762980199095,-5.6886319824000735e-05,-4.717280823209524e-05,-4.717280823209524e-05,-0.00012484762980199095,False
ETTh1,2023,s1_vs_s360,1,360,-5.890146989111252e-05,-1.180213373822793e-05,-4.8914239588549344e-05,-1.180213373822793e-05,-5.890146989111252e-05,False
ETTh1,2023,s1_vs_s720,1,720,3.780005572646496e-05,-8.89473707524099e-05,2.2338672343777304e-05,3.780005572646496e-05,-8.89473707524099e-05,False
ETTh1,2023,s48_vs_s144,48,144,1.2555640658916889e-05,1.1397727247554454e-05,3.266637195563423e-06,1.2555640658916889e-05,3.266637195563423e-06,False
ETTh1,2023,s48_vs_s360,48,360,7.84927404828796e-05,5.647883497775872e-05,1.5252936717978735e-06,7.84927404828796e-05,1.5252936717978735e-06,False
ETTh1,2023,s48_vs_s720,48,720,0.00017518098065323525,-2.0661134547075705e-05,7.277461181629061e-05,0.00017518098065323525,-2.0661134547075705e-05,False
ETTh1,2023,s144_vs_s360,144,360,6.593792771688892e-05,4.5081621558230657e-05,-1.7413492121216561e-06,6.593792771688892e-05,-1.7413492121216561e-06,False
ETTh1,2023,s144_vs_s720,144,720,0.00016262738188528662,-3.2059227196957515e-05,6.950820167880419e-05,0.00016262738188528662,-3.2059227196957515e-05,False
ETTh1,2023,s360_vs_s720,360,720,9.669583009105277e-05,-7.714432654652291e-05,7.124942682079259e-05,9.669583009105277e-05,-7.714432654652291e-05,False
ETTh2,2021,s1_vs_s48,1,48,-0.00034282554769567657,-0.00023789234194311861,-0.00015758954556216052,-0.00015758954556216052,-0.00034282554769567657,False
ETTh2,2021,s1_vs_s144,1,144,-0.0004313908167180813,-0.00021322446108716685,-0.0001308883772131832,-0.0001308883772131832,-0.0004313908167180813,False
ETTh2,2021,s1_vs_s360,1,360,-0.0004920154844023877,-0.0001332462090262401,-0.00011663590494851266,-0.00011663590494851266,-0.0004920154844023877,False
ETTh2,2021,s1_vs_s720,1,720,-0.00016846517293821444,-3.929304148397414e-06,-0.00012102425061010732,-3.929304148397414e-06,-0.00016846517293821444,False
