dataset,fold,selected_canonical_arm,carrier_skill_relative_gain,canonical_oracle_relative_gain,canonical_vs_random_oracle_relative_gain,canonical_vs_shifted_oracle_relative_gain,crossing_pair_count,crossing_pairs,severe_degradation
ETTh1,2021,canonical_s144,0.14530918603655119,0.000580430174890846,-0.0013100194297572573,-1.6594667277837624e-05,0,,False
ETTh1,2022,canonical_s720,0.1375945586881807,0.0004957042622200563,-0.0018430646500856875,-1.5581836398728324e-05,0,,False
ETTh1,2023,canonical_s48,0.11414639044542339,0.00047022982100706394,-0.002018053913547854,-2.256220165903529e-05,0,,False
ETTh2,2021,canonical_s48,0.1655732498960827,0.0008953130605976976,-0.0020610019264253815,-1.3198553237812973e-05,0,,False
ETTh2,2022,canonical_s48,0.1245596079483163,0.0006425815414062424,-0.002308041244616408,-6.247730584817105e-06,0,,False
ETTh2,2023,canonical_s360,0.1405595439882599,0.0006833059463170627,-0.0015121492438964056,-1.455912994924926e-05,0,,False
ETTm1,2021,canonical_s360,0.2247245978643828,0.00047101876614853954,-0.0013772533198218363,-1.6441750646791934e-07,0,,False
ETTm1,2022,canonical_s144,0.21373161455931453,0.00042781225872246854,-0.0012355970222526868,1.11376767445196e-06,0,,False
ETTm1,2023,canonical_s144,0.2255348307210153,0.0003717054575030015,-0.001595658007760394,-1.315634152394635e-05,0,,False
ETTm2,2021,canonical_s144,0.1608150442051315,0.0011130909583217435,-0.0023528503175187284,-2.222275452089479e-05,0,,False
ETTm2,2022,canonical_s720,0.16723236647884332,0.0016060624291017107,-0.0020292818086323217,-1.5552044064419864e-05,0,,False
ETTm2,2023,canonical_s144,0.14848533960921614,0.0010296973467630334,-0.0017591723586499125,5.5277236367700396e-06,0,,False
Weather,2021,canonical_s720,-0.00021485381905772644,2.7071500980771646e-07,-6.480379625600025e-07,2.5496184258063016e-10,0,,False
Weather,2022,canonical_s720,-0.00029832675668144045,3.461637189547375e-07,-7.870377470715159e-07,-4.652232038095429e-09,0,,False
Weather,2023,canonical_s360,2.766824047043963e-05,1.4946523958733888e-07,-3.165061247039348e-07,-1.2129051673563919e-08,0,,False
