scope,residual_mse,residual_mae,raw_residual_mae,residual_to_base_mae_ratio,residual_to_prediction_mae_ratio,mean_gate,max_gate,coefficient_l2,residual_norm_smoothness
all,2.5960648599721026e-06,0.0009597367607057095,0.05312768369913101,0.001699587213806808,0.001700066844932735,0.018041640520095825,0.018213631585240364,0.26228076219558716,8.473814427922832e-10
1-96,2.5960648599721026e-06,0.0009597367607057095,0.05312768369913101,0.001699587213806808,0.001700066844932735,0.018041640520095825,0.018213631585240364,0.26228076219558716,8.473814427922832e-10
