epoch,train_loss,train_mse_loss,train_residual_loss,train_smoothness_loss,mse,mae
1,0.47126258521432607,0.47126258521432607,1.1562663214498359e-06,1.5884209266213558e-07,0.40955638885498047,0.2909647822380066
2,0.42837831089404266,0.42837831089404266,2.564643355199992e-06,3.250288964921656e-07,0.41097527742385864,0.28402388095855713
3,0.41639755886625235,0.41639755886625235,2.787394691949885e-06,3.362508406798375e-07,0.40561962127685547,0.278018593788147
4,0.409533045451406,0.409533045451406,3.718275561976965e-06,3.931080920563731e-07,0.40967026352882385,0.2787284851074219
5,0.4041987224678758,0.4041987224678758,5.234464447792715e-06,4.928959238130529e-07,0.4050980508327484,0.27663296461105347
6,0.39897797928309775,0.39897797928309775,9.843792532003237e-06,7.542283197366628e-07,0.4021129012107849,0.2763286530971527
7,0.3954913417848063,0.3954913417848063,1.6343618769279205e-05,1.0629403777944441e-06,0.4117383658885956,0.28407227993011475
8,0.39212153584394654,0.39212153584394654,2.3503648361851524e-05,1.3668054822907104e-06,0.40732985734939575,0.2778962254524231
9,0.3893139769493694,0.3893139769493694,3.49632971040297e-05,1.8696355539304932e-06,0.4093729257583618,0.28206899762153625
10,0.38632664420235324,0.38632664420235324,5.585335940184091e-05,2.685702193896849e-06,0.41328829526901245,0.2795221209526062
11,0.3830498040876758,0.3830498033531115,8.574053079197692e-05,3.865514627586634e-06,0.4144217371940613,0.2841968238353729
12,0.38002044618339603,0.380020444084641,0.00012136218753421161,5.113349028677886e-06,0.4203038513660431,0.2879588007926941
13,0.37655356048908034,0.3765535416002844,0.00016991389707008764,6.749221695276325e-06,0.41388562321662903,0.28073710203170776
14,0.37352109459084526,0.37352107082244373,0.0002319217038207235,8.63937796079689e-06,0.4225549101829529,0.28762632608413696
15,0.3699533118748329,0.3699532816527595,0.0002981193993805455,1.0629627674563996e-05,0.4252524673938751,0.2898859679698944
16,0.3670392123011636,0.36703917447110296,0.00037731696135433337,1.2869244663204266e-05,0.434859961271286,0.29077228903770447
