epoch,train_loss,train_pred_loss,train_alignment_loss,train_reconstruction_loss,train_raw_reconstruction_loss,mse,mae
1,0.4842875175092412,0.42405367765390095,0.7806181743227202,0.424058614619847,0.9855573059726949,0.9651476740837097,0.6540079116821289
2,0.42792549889206427,0.3963431747937111,0.4583054705597888,0.17334101942878116,0.4047781607542915,0.9662565588951111,0.6540964245796204
3,0.4077188683195589,0.3842485283298054,0.35461834061648195,0.11478843371530145,0.26816838688548955,0.9803882241249084,0.6593058705329895
4,0.39134433842710153,0.3723738286001929,0.29630633880352153,0.08310387403458014,0.1938418325222315,1.045780897140503,0.6808121800422668
5,0.3758743461292822,0.3599959654141203,0.25544602569492386,0.062121598114227426,0.14482950285020002,1.0667208433151245,0.6889653205871582
6,0.36139129381983676,0.3475837821704674,0.2281337917079414,0.04801642546480186,0.11199303119803754,1.0844318866729736,0.6939360499382019
7,0.34784791775590157,0.3355329378126225,0.20802039387582363,0.03827922217462255,0.08940466506213977,1.089074969291687,0.6953609585762024
8,0.33619894595438493,0.3249536614536782,0.19361810460401221,0.031287601067759525,0.07294364500491099,1.0728490352630615,0.6917030215263367
9,0.32752452442472463,0.31709693811862405,0.18257296793305555,0.02597874183193477,0.06059402765499221,1.094988465309143,0.6980971693992615
10,0.3175626164195181,0.3077736491216097,0.1738467794268524,0.02193257049211369,0.0511631956645127,1.0773593187332153,0.6943038702011108
11,0.308595543506045,0.2993304710050196,0.1665796034637539,0.018721869597175797,0.04369069142017328,1.0966360569000244,0.6994010210037231
