system,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,checkpoint_repetitions,system_role
ISCF-BSCA-MAIN-v1,ETTm1,96,0.2659839500967137,0.32657150986453487,0.266,0.327,best,best,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTm1,96,0.28164992752819223,0.3367204820051925,0.282,0.337,second,second,1,source_native_H720_one_model_all_horizons
QDF,ETTm1,96,0.2826755940914154,0.34815630316734314,0.283,0.348,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTm1,96,0.2904094457626343,0.34933340549468994,0.290,0.349,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTm1,96,0.31732778501775655,0.36718127594105043,0.317,0.367,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTm1,96,0.34026582748325435,0.38241051272134524,0.340,0.382,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTm1,96,0.29157384662634006,0.34971601406296854,0.292,0.350,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTm1,96,0.2948757329071896,0.34655028288613654,0.295,0.347,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTm1,192,0.3050110151558611,0.35059004880365885,0.305,0.351,best,best,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTm1,192,0.31358358542033904,0.3557297375958764,0.314,0.356,second,second,1,source_native_H720_one_model_all_horizons
QDF,ETTm1,192,0.3228544294834137,0.3706321120262146,0.323,0.371,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTm1,192,0.3261481821537018,0.368446409702301,0.326,0.368,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTm1,192,0.35015784628649177,0.3829486903340362,0.350,0.383,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTm1,192,0.3738953700823285,0.3982116605197053,0.374,0.398,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTm1,192,0.3283263239729507,0.3715054986681988,0.328,0.372,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTm1,192,0.3288278057625504,0.3663508090308393,0.329,0.366,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTm1,336,0.34448984367496216,0.3727244693263644,0.344,0.373,best,best,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTm1,336,0.3498354265804071,0.3756633841671725,0.350,0.376,second,second,1,source_native_H720_one_model_all_horizons
QDF,ETTm1,336,0.3621515929698944,0.3919978141784668,0.362,0.392,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTm1,336,0.36311066150665283,0.3872583210468292,0.363,0.387,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTm1,336,0.38929307025304655,0.4051990352827961,0.389,0.405,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTm1,336,0.4162797932454306,0.4216299384197164,0.416,0.422,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTm1,336,0.3646037421492941,0.39210538831478625,0.365,0.392,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTm1,336,0.36741011772994675,0.3874536540864356,0.367,0.387,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTm1,720,0.4073109251765397,0.4056298297188275,0.407,0.406,second,second,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTm1,720,0.4062431097581435,0.405439138169616,0.406,0.405,best,best,1,source_native_H720_one_model_all_horizons
QDF,ETTm1,720,0.4228467643260956,0.4241206645965576,0.423,0.424,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTm1,720,0.42269816994667053,0.41704830527305603,0.423,0.417,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTm1,720,0.4542526424651314,0.43794770642892394,0.454,0.438,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ETTm1,720,0.4869880086753695,0.45648442910596215,0.487,0.456,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ETTm1,720,0.4152368112856822,0.42110117902138766,0.415,0.421,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ETTm1,720,0.4271246087250689,0.42267383501247413,0.427,0.423,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ETTm1,Avg.,0.33069893352601915,0.3638789644283464,0.331,0.364,best,best,1,four_horizon_arithmetic_mean
TimeAlign,ETTm1,Avg.,0.3378280123217705,0.3683881854844644,0.338,0.368,second,second,1,four_horizon_arithmetic_mean
QDF,ETTm1,Avg.,0.3476320952177048,0.38372672349214554,0.348,0.384,normal,normal,1,four_horizon_arithmetic_mean
AMD,ETTm1,Avg.,0.35059161484241486,0.38052161037921906,0.351,0.381,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,ETTm1,Avg.,0.3777578360056066,0.39831917699670166,0.378,0.398,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,ETTm1,Avg.,0.4043572498715957,0.4146841351916823,0.404,0.415,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,ETTm1,Avg.,0.34993518100856674,0.38360702001683533,0.350,0.384,normal,normal,1,four_horizon_arithmetic_mean
DLinear,ETTm1,Avg.,0.3545595662811889,0.38075714525397136,0.355,0.381,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,ETTm2,96,0.1608811102009066,0.24576577725389895,0.161,0.246,best,best,1,source_native_H720_one_model_all_horizons
TimeAlign,ETTm2,96,0.1673825024028487,0.2528691112223863,0.167,0.253,second,second,1,source_native_H720_one_model_all_horizons
QDF,ETTm2,96,0.16908049583435059,0.2570648193359375,0.169,0.257,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ETTm2,96,0.17803335189819336,0.264889657497406,0.178,0.265,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ETTm2,96,0.186411561735623,0.27070252345420204,0.186,0.271,normal,normal,3,source_native_H720_one_model_all_horizons
