epoch,train_loss,train_pred_loss,train_alignment_loss,train_reconstruction_loss,train_raw_reconstruction_loss,mse,mae
1,0.46390875751488053,0.42405950326572434,0.7969851037094876,2.5237295134314177,2.5237295134314177,0.9658232927322388,0.6544104814529419
2,0.43455818067108537,0.3965906368361579,0.7593508821794357,2.523241202950021,2.523241202950021,0.966382622718811,0.6536051034927368
3,0.4216541453796328,0.3843218632813158,0.7466456300910862,2.5231493158815463,2.5231493158815463,0.979198694229126,0.6592099666595459
4,0.4089423021822597,0.37209755661843835,0.7368949069373909,2.5237496063627045,2.5237496063627045,1.0733243227005005,0.6909539699554443
5,0.3954251698607229,0.359112999220004,0.7262434134994887,2.5230261804500302,2.5230261804500302,1.0905711650848389,0.6962769627571106
6,0.38251729075479324,0.3467013877013634,0.716318067462965,2.5222694060811595,2.5222694060811595,1.1630767583847046,0.7172892689704895
7,0.37020597946598155,0.3348865353741408,0.706388888687923,2.5234903531056254,2.5234903531056254,1.1220754384994507,0.7068109512329102
8,0.3601336455208132,0.32518864431600464,0.6989000357430557,2.52214953634474,2.52214953634474,1.102722406387329,0.7013533711433411
9,0.351997802540717,0.31738199025278346,0.6923162432465974,2.5229094019338087,2.5229094019338087,1.1165803670883179,0.7043721079826355
10,0.3432284193934152,0.30897167770341893,0.6851348392808118,2.5231398613516856,2.5231398613516856,1.0943337678909302,0.6979931592941284
11,0.33503440913112686,0.30107044340093475,0.6792793093513255,2.5229748565118433,2.5229748565118433,1.1232331991195679,0.7070500254631042
