arm,label,strategy,future_alignment,dataset,horizon,mean_abs_gamma,mean_abs_beta,mean_target_state_norm,std_target_state_norm,mean_history_readout_norm
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,96,0.4721200466156006,0.42872726917266846,6.09395694732666,0.687232255935669,10.551568984985352
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,192,0.460376501083374,0.42857155203819275,6.270136833190918,0.7031038999557495,10.56755256652832
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,336,0.46116703748703003,0.43018028140068054,6.565239906311035,0.7806282639503479,10.539773941040039
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,720,0.4613780975341797,0.4289107918739319,6.84621524810791,0.8437867164611816,10.731659889221191
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,96,0.7139859199523926,0.4230897128582001,9.842381477355957,2.005854845046997,10.715570449829102
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,192,0.7210041284561157,0.4244367480278015,8.924357414245605,1.8275645971298218,10.723933219909668
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,336,0.7246044874191284,0.4265894889831543,8.512190818786621,1.629604697227478,10.7393217086792
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,720,0.7337285280227661,0.4277094006538391,8.16944694519043,1.3980735540390015,10.726914405822754
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,96,0.4467603862285614,0.43635937571525574,6.303256988525391,0.4493647813796997,10.444151878356934
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,192,0.4412596821784973,0.4354497492313385,6.453814506530762,0.4625726342201233,10.441956520080566
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,336,0.44558751583099365,0.43425196409225464,6.613448143005371,0.48077237606048584,10.409137725830078
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,720,0.44472604990005493,0.43123918771743774,6.510140895843506,0.4837808609008789,10.570860862731934
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,96,0.767439067363739,0.39910367131233215,10.355107307434082,2.643200397491455,10.449116706848145
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,192,0.7764618396759033,0.4107948839664459,9.103165626525879,2.3731884956359863,10.457306861877441
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,336,0.7837273478507996,0.41400861740112305,8.669219017028809,2.0936062335968018,10.478513717651367
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,720,0.7942495346069336,0.4151571989059448,8.383797645568848,1.7922329902648926,10.467247009277344
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,96,0.4421176612377167,0.44201478362083435,7.136714458465576,0.400758296251297,10.224040985107422
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,192,0.4382407069206238,0.4404221773147583,7.150024890899658,0.3905330002307892,10.221179962158203
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,336,0.4348026216030121,0.4372691512107849,7.170648097991943,0.3917311131954193,10.176603317260742
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,720,0.4334705173969269,0.4303586483001709,7.157660484313965,0.40309372544288635,10.25976848602295
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,96,0.7581212520599365,0.41129329800605774,9.33939266204834,2.277247667312622,10.705084800720215
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,192,0.7504990100860596,0.4145068824291229,8.532870292663574,2.0063180923461914,10.712574005126953
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,336,0.7651798129081726,0.41932252049446106,8.08656120300293,1.8588147163391113,10.728962898254395
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,720,0.791843593120575,0.4240846037864685,7.707147598266602,1.6774617433547974,10.717294692993164
