comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,settings,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct,dataset
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,4,0,0,3.3056969468410635,1.2698269908818116,ETTh2
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,4,2,1,-0.059279473431947394,0.8420491538644992,Weather
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,4,3,4,-1.4495060449842,-0.7671863831709036,ETTh2
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,4,1,2,0.7767430455528995,-0.2546439695923247,Weather
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,4,0,0,1.6721586467326521,2.21172939604502,ETTh2
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,4,0,0,3.397189951460078,2.903255750699285,Weather
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,4,3,0,-0.3776792027835957,0.9137683256195073,ETTh2
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,4,0,0,2.5643171554651567,2.026527904256165,Weather
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,4,1,1,0.5691998957516847,0.5078336584002308,ETTh2
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,4,0,0,1.5900693106880692,0.5926593705477046,Weather
