arm,label,strategy,future_alignment,dataset,horizon,pairs,mean_target_state_cosine,mean_abs_target_state_cosine,mean_adjacent_target_state_cosine,min_target_state_cosine,max_target_state_cosine
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,96,1,0.8616800904273987,0.8616800904273987,0.8616800904273987,0.8616800904273987,0.8616800904273987
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,192,6,0.8517158726851145,0.8517158726851145,0.9391529758771261,0.641779899597168,0.9881994724273682
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,336,21,0.8696974970045543,0.8696974970045543,0.9677809079488119,0.5485736727714539,0.9962128400802612
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,720,105,0.9120283847763425,0.9120283847763425,0.9852819953645978,0.5498103499412537,0.9973533749580383
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,96,1,-0.08141732215881348,0.08141732215881348,-0.08141732215881348,-0.08141732215881348,-0.08141732215881348
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,192,6,0.16700841238101324,0.20856941491365433,0.040119849145412445,-0.08114349842071533,0.8415990471839905
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,336,21,0.2183293372037865,0.27100018145782606,0.04691796563565731,-0.21728460490703583,0.9610621929168701
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,720,105,0.28059115985219946,0.3273513816003244,0.07345965564517039,-0.3118829131126404,0.993930459022522
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,96,1,0.9178963899612427,0.9178963899612427,0.9178963899612427,0.9178963899612427,0.9178963899612427
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,192,6,0.9016943474610647,0.9016943474610647,0.961459755897522,0.7539480924606323,0.9881666898727417
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,336,21,0.8996448119481405,0.8996448119481405,0.9784793059031168,0.6499922275543213,0.996597409248352
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,720,105,0.9299773806617373,0.9299773806617373,0.9887744571481433,0.650364339351654,0.996612548828125
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,96,1,-0.015173524618148804,0.015173524618148804,-0.015173524618148804,-0.015173524618148804,-0.015173524618148804
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,192,6,0.25254190651079017,0.2574476382384698,0.1533952640990416,-0.014717195183038712,0.8083162307739258
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,336,21,0.31115951402378933,0.32592800672033,0.18537367600947618,-0.13199330866336823,0.9620035290718079
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,720,105,0.36285595468999376,0.38688903577803146,0.2105405954644084,-0.30683255195617676,0.9933454990386963
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,96,1,0.994552493095398,0.994552493095398,0.994552493095398,0.994552493095398,0.994552493095398
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,192,6,0.9880109826723734,0.9880109826723734,0.9950811465581259,0.9711589813232422,0.9956465363502502
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,336,21,0.9751354966844831,0.9751354966844831,0.995501716931661,0.9200655817985535,0.9961176514625549
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,720,105,0.9699938104266213,0.9699938104266213,0.9965127961976188,0.9037215113639832,0.9978136420249939
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,96,1,0.16412989795207977,0.16412989795207977,0.16412989795207977,0.16412989795207977,0.16412989795207977
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,192,6,0.27766537107527256,0.27766537107527256,0.1873156726360321,0.04437294229865074,0.8391537666320801
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,336,21,0.3187815405517107,0.3281726709877451,0.19595507035652796,-0.09860686957836151,0.9543617963790894
