arm,label,dataset,pairs,max_prefix_mismatch_mse,max_prefix_mismatch_mae,max_truth_alignment_mse
F1-C0,F1-C0_single_prefix_base,ETTh2,3,1.5044218244753514e-14,6.737472801887634e-08,0.0
F1-C0,F1-C0_single_prefix_base,Weather,3,1.0108475098906822e-14,5.644376699365239e-08,0.0
F1-C1,F1-C1_r3_base,ETTh2,3,1.3773672212003853e-14,6.441278088686886e-08,0.0
F1-C1,F1-C1_r3_base,Weather,3,9.557617386055355e-15,5.372361755462407e-08,0.0
F1-A0,F1-A0_single_prefix_future_anchor,ETTh2,3,1.2030879900171501e-14,6.022602150324019e-08,0.0
F1-A0,F1-A0_single_prefix_future_anchor,Weather,3,1.0466222005278518e-14,5.693262039585534e-08,0.0
F1-A1,F1-A1_r3_future_anchor,ETTh2,3,1.5233243811328678e-14,6.620164327841849e-08,0.0
F1-A1,F1-A1_r3_future_anchor,Weather,3,1.0096335422706774e-14,5.6756544353220306e-08,0.0
F1-W0,F1-W0_full_time_future_anchor,ETTh2,3,1.0522539531875562e-14,5.584358575561055e-08,0.0
F1-W0,F1-W0_full_time_future_anchor,Weather,3,9.888231286027654e-15,5.628625387998909e-08,0.0
