arm,label,dataset,horizons,mean_teacher_student_cosine,mean_future_local_alignment_loss,mean_future_reconstruction_loss,mean_future_alignment_confidence,min_future_alignment_confidence,max_prediction_leakage_abs
F1-A0,F1-A0_single_prefix_future_anchor,ETTh2,4,0.12314877287568127,0.8837532307096025,0.8392125690525228,0.3907666923886633,0.05000000074505806,0.0
F1-A0,F1-A0_single_prefix_future_anchor,Weather,4,0.3244954859755503,0.7192143329884811,0.5370310713232251,0.6233701587707481,0.05000000074505806,0.0
F1-A1,F1-A1_r3_future_anchor,ETTh2,4,0.26576791962030977,0.7605384543059981,0.6148977630298564,0.46501303873756994,0.05000000074505806,0.0
F1-A1,F1-A1_r3_future_anchor,Weather,4,0.37174947531671904,0.6671936599283227,0.4923980148467552,0.7041485647278765,0.05000000074505806,0.0
F1-W0,F1-W0_full_time_future_anchor,ETTh2,4,0.12026426411458892,0.8860663899165743,0.8392125690525228,0.3907666923886633,0.05000000074505806,0.0
F1-W0,F1-W0_full_time_future_anchor,Weather,4,0.322366272951388,0.7223736510883294,0.5451225059660837,0.6091520191651737,0.05000000074505806,0.0
