comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,dataset,horizon,segment,future_region,candidate_mse,baseline_mse,relative_mse_pct,mse_win,candidate_mae,baseline_mae,relative_mae_pct,mae_win
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,336,1-96,early_1_96,0.15188969671726227,0.1531524807214737,-0.8245272934938264,True,0.1987226903438568,0.2011011391878128,-1.18271276511005,True
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,336,97-192,middle_97_336,0.24246825277805328,0.23971880972385406,1.1469450634126188,False,0.28315433859825134,0.2823961079120636,0.2684989859788933,False
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,336,193-336,middle_97_336,0.323843777179718,0.3164081573486328,2.350008891487687,False,0.3350049555301666,0.3331386148929596,0.5602294521776408,False
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,720,1-96,early_1_96,0.1486584097146988,0.1500176340341568,-0.9060430316802148,True,0.19764289259910583,0.2002224326133728,-1.2883371661196574,True
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,720,97-192,middle_97_336,0.23659062385559082,0.23478010296821594,0.7711560155589492,False,0.28222784399986267,0.2819523513317108,0.09770894509326666,False
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,720,193-336,middle_97_336,0.3217542767524719,0.3157244324684143,1.9098440487848034,False,0.33600082993507385,0.33473527431488037,0.37807656297466075,False
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,720,337-720,late_337_720,0.4033051133155823,0.3919121026992798,2.907032096695561,False,0.38331806659698486,0.3804328441619873,0.7584051901073696,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,96,1-96,early_1_96,0.3123168647289276,0.30031517148017883,3.996365947679381,False,0.3626645505428314,0.35893383622169495,1.0393877491204906,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,192,1-96,early_1_96,0.31012311577796936,0.2999567985534668,3.3892604780186186,False,0.360691100358963,0.3577183485031128,0.8310314157184973,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,192,97-192,middle_97_336,0.43735674023628235,0.42101311683654785,3.8819748711248936,False,0.44451823830604553,0.43840253353118896,1.3949975894520072,False
