comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,settings,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct,dataset,future_region
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,4,1,1,1.7716083632827229,0.15451866667089698,ETTh2,early_1_96
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,1,0,0,5.704312855996596,3.361752527343298,ETTh2,late_337_720
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,5,0,1,2.262466516603472,0.9970587013174281,ETTh2,middle_97_336
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,4,0,0,0.6151333850800245,2.100292723627933,Weather,early_1_96
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,1,1,1,-1.2441818703909813,-0.7512234926200012,Weather,late_337_720
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,5,5,0,-0.27001485442498474,0.2032966850068263,Weather,middle_97_336
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,4,4,3,-2.253907213698511,-0.5046814407813571,ETTh2,early_1_96
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,1,1,1,-2.540755834923536,-1.577633077574958,ETTh2,late_337_720
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,5,1,2,0.7504633925069637,-0.0591964410112511,ETTh2,middle_97_336
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,4,4,4,-0.877420814169011,-1.2208353826784868,Weather,early_1_96
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,1,0,0,2.907032096695561,0.7584051901073696,Weather,late_337_720
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,5,0,0,1.4330707527314734,0.2984106943463738,Weather,middle_97_336
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,4,0,0,2.604155904400546,3.5169166637337046,ETTh2,early_1_96
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,1,0,0,0.6127269851395001,1.4531978107666044,ETTh2,late_337_720
