arm,label,strategy,dataset,horizon,future_local_alignment_loss,future_relation_alignment_loss,future_reconstruction_loss,future_raw_reconstruction_loss,future_normalized_reconstruction_loss,future_alignment_confidence_mean,future_alignment_confidence_min,future_alignment_confidence_max,teacher_student_cosine,prediction_leakage_max_abs
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,ETTh2,96,0.8825232440775092,0.1207778779366477,0.8801685463298451,1.5483455522493883,0.8801685463298451,0.37823189117691736,0.05000000074505806,0.8115405440330505,0.12339578111740676,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,ETTh2,192,0.8828180649063804,0.24213706033135002,0.8411466059359637,1.7179069139740684,0.8411466059359637,0.3930980299006809,0.05000000074505806,0.8305203318595886,0.12344552910971371,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,ETTh2,336,0.8832499474287033,0.3807564668357372,0.8420345813035965,2.094427090883255,0.8420345813035965,0.3862493023276329,0.05000000074505806,0.8418562412261963,0.12342725316993892,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,ETTh2,720,0.8864216664258171,0.4256835417712436,0.793500542640686,3.0024691820144653,0.793500542640686,0.4054875461494221,0.05000000074505806,0.834949791431427,0.12232652810566566,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,Weather,96,0.6990811014320792,0.29971613680444115,0.5118811648429894,384.56403659284115,0.5118811648429894,0.6175482338521538,0.05000000074505806,0.997501790523529,0.336493672394171,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,Weather,192,0.7170308879864069,0.5641911993792028,0.5223873866561018,485.54886765097393,0.5223873866561018,0.607902185416516,0.05000000074505806,0.9975084662437439,0.3290282111660934,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,Weather,336,0.7314296122640371,0.6942367408424616,0.5392750575207174,593.8915254723281,0.5392750575207174,0.6179486405104399,0.05000000074505806,0.9979375600814819,0.31776381423696876,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,Weather,720,0.7293157302714014,0.7723068087906032,0.5745806762730921,1120.078090689012,0.5745806762730921,0.6500815753038828,0.05000000074505806,0.9979630708694458,0.31469624610496805,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,ETTh2,96,0.7417460923845117,0.08947398085993799,0.6352285282178358,1.0530957037752324,0.6352285282178358,0.4721038273789666,0.05000000074505806,0.9814854860305786,0.28089389543641696,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,ETTh2,192,0.7597938884388317,0.17205278626219792,0.6170214699073271,1.1695157519795678,0.6170214699073271,0.4733993505889719,0.05000000074505806,0.983985960483551,0.2662578206509352,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,ETTh2,336,0.7581427931785584,0.27898421324789524,0.6414752796292305,1.4678225219249725,0.6414752796292305,0.4446446418762207,0.05000000074505806,0.9832679629325867,0.27003670707345007,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,ETTh2,720,0.7824710432220908,0.34261524063699383,0.5658657743650324,2.0786060445448933,0.5658657743650324,0.4699043351061204,0.05000000074505806,0.9822179079055786,0.2458832553204368,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,Weather,96,0.661469025582802,0.2503173193190156,0.40918883545006196,386.65652251806927,0.40918883545006196,0.7164819516786715,0.05000000074505806,0.9957461357116699,0.37618287543698053,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,Weather,192,0.6572618377797398,0.39601387984958697,0.46128439544527616,488.3998298074728,0.46128439544527616,0.7051915474879888,0.05000000074505806,0.9958485960960388,0.38063294836032535,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,Weather,336,0.6699342332780361,0.48232680540531875,0.5108908313326538,597.3778064243495,0.5108908313326538,0.6980952925980091,0.05000000074505806,0.995881974697113,0.37017945758998394,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,Weather,720,0.6801095430727129,0.5569375149615399,0.588227997159029,1126.516397537736,0.588227997159029,0.6968254671468364,0.05000000074505806,0.996190071105957,0.36000261987958637,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,ETTh2,96,0.8870644081722606,0.1214419988153333,0.8801685463298451,1.5483455522493883,0.8801685463298451,0.37823189117691736,0.05000000074505806,0.8115405440330505,0.11799308437515389,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,ETTh2,192,0.8858132850040089,0.24517288854853672,0.8411466059359637,1.7179069139740684,0.8411466059359637,0.3930980299006809,0.05000000074505806,0.8305203318595886,0.11979601442792707,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,ETTh2,336,0.8847746342420578,0.38989504650235174,0.8420345813035965,2.094427090883255,0.8420345813035965,0.3862493023276329,0.05000000074505806,0.8418562412261963,0.12141662440262735,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,ETTh2,720,0.8866132322479697,0.43278561444843516,0.793500542640686,3.0024691820144653,0.793500542640686,0.4054875461494221,0.05000000074505806,0.834949791431427,0.12185133325264734,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,Weather,96,0.7099477637831758,0.28694103258412057,0.5252527211134027,385.3287072657812,0.5252527211134027,0.6009481331197227,0.05000000074505806,0.9957047700881958,0.3248922649498393,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,Weather,192,0.7240488886097332,0.5252060124903549,0.5290228661931591,486.5084542050774,0.5290228661931591,0.5951102534194052,0.05000000074505806,0.996742308139801,0.3222071760230594,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,Weather,336,0.7317988350987434,0.6458743633702397,0.5453878976404667,595.0090291433037,0.5453878976404667,0.6058072157204151,0.05000000074505806,0.9974557161331177,0.31833145171403887,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,Weather,720,0.7236991168616654,0.7227731587050797,0.5808265389173062,1122.055600463957,0.5808265389173062,0.634742474401152,0.05000000074505806,0.9974393248558044,0.3240341991186142,0.0
