comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,settings,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,8,2,1,1.623208736704558,1.0559380723731553
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,8,4,6,-0.3363814997156503,-0.5109151763816142
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,8,0,0,2.534674299096365,2.5574925733721527
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,8,3,0,1.0933189763407805,1.470148114937836
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,8,1,1,1.079634603219877,0.5502465144739677
