arm,label,dataset,horizons,mean_target_state_cosine,mean_abs_target_state_cosine,mean_adjacent_target_state_cosine,min_target_state_cosine,max_target_state_cosine
F1-A0,F1-A0_single_prefix_future_anchor,ETTh2,4,0.981923195719719,0.981923195719719,0.9954120381957009,0.9037215113639832,0.9978136420249939
F1-A0,F1-A0_single_prefix_future_anchor,Weather,4,0.2797095082345463,0.28692408516293477,0.19201544734338918,-0.19385914504528046,0.9921900629997253
F1-A1,F1-A1_r3_future_anchor,ETTh2,4,0.797602585277387,0.797602585277387,0.8842696331086612,0.3777827322483063,0.9973347783088684
F1-A1,F1-A1_r3_future_anchor,Weather,4,0.13077474292922056,0.229675332657505,0.013286272762343287,-0.2860337495803833,0.9921262860298157
F1-C0,F1-C0_single_prefix_base,ETTh2,4,0.8737804612233525,0.8737804612233525,0.9384739924044836,0.5485736727714539,0.9973533749580383
F1-C0,F1-C0_single_prefix_base,Weather,4,0.14612789681954644,0.22208457503265455,0.019770037066856667,-0.3118829131126404,0.993930459022522
F1-C1,F1-C1_r3_base,ETTh2,4,0.9123032325080462,0.9123032325080462,0.9616524772275061,0.6499922275543213,0.996612548828125
F1-C1,F1-C1_r3_base,Weather,4,0.22784596265160612,0.24635955133874501,0.13353400273869434,-0.30683255195617676,0.9933454990386963
F1-W0,F1-W0_full_time_future_anchor,ETTh2,4,0.9895931598686036,0.9895931598686036,0.9971255695536023,0.9510847330093384,0.9982876777648926
F1-W0,F1-W0_full_time_future_anchor,Weather,4,0.2612003454361998,0.2660331165151937,0.15305015003486047,-0.14722685515880585,0.9932512640953064
