arm,label,strategy,future_alignment,dataset,epochs_ran,best_epoch,first_val_mean_mse,best_val_mean_mse,last_val_mean_mse,post_best_val_drift_pct,first_train_prediction_loss,last_train_prediction_loss,train_loss_drop_pct,first_train_future_local_alignment_loss,last_train_future_local_alignment_loss,first_train_future_relation_alignment_loss,last_train_future_relation_alignment_loss,first_train_future_reconstruction_loss,last_train_future_reconstruction_loss,first_train_future_alignment_confidence_mean,last_train_future_alignment_confidence_mean
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,14,4,0.3812193125486374,0.36506346613168716,0.3994816280901432,9.427994075430313,0.6962968979851675,0.5080790954121088,-27.031256798313073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,14,4,0.5373838394880295,0.5247254446148872,0.5667786672711372,8.014328843365725,0.6500623171688408,0.4597594604483642,-29.274555945541636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,11,1,0.36564091593027115,0.36564091593027115,0.43578990548849106,19.185213279467206,0.7881647835095082,0.4193489526308352,-46.79425401835703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,13,3,0.5264995917677879,0.5188502818346024,0.5883053094148636,13.386333208623347,0.8049357752022858,0.5324462216918293,-33.85233479552801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,12,2,0.38143009319901466,0.3648260571062565,0.3892213925719261,6.686840205211664,0.6995587207503238,0.5245432964826034,-25.01797477129647,0.9586998092926154,0.7081814832606558,0.2162122643094952,0.22187970780720145,0.9992454223713633,0.990187154988111,0.3247702727883549,0.3528265114557945
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,17,7,0.5359836295247078,0.5245704501867294,0.561627097427845,7.064188847832487,0.6582490186537465,0.44101284973083005,-33.002125755874076,0.8705734067920289,0.5870106149745243,0.47250580712885837,0.5508781066932131,0.9991466373098367,0.9817053654287878,0.4662364034456164,0.5817670018869489
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,13,3,0.36503351107239723,0.3633577823638916,0.42205697298049927,16.154653475351253,0.783575382924849,0.39470684804743333,-49.62745682819788,0.8918135146940908,0.6447504871795254,0.15561064532507332,0.1290013097647217,0.9979811716944941,0.978861273536759,0.38522787344071174,0.5453520049491236
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,11,1,0.5294758379459381,0.5294758379459381,0.5943717509508133,12.256633514502568,0.8095021746240959,0.5587748518235077,-30.973026467410925,0.7925564431848517,0.33237824004978284,0.34709922388605147,0.1224598827003852,0.9973861767297514,0.9471291226027179,0.5841390030694493,0.46685590585108033
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,12,2,0.3919758051633835,0.3735262490808964,0.4132956266403198,10.647010125066302,0.8280147253456762,0.6516511278637385,-21.29957259012637,0.9596050300840604,0.698532676292678,0.2168897074663033,0.21963162922253043,0.9992454223713633,0.990187154988111,0.3247702727883549,0.3528265114557945
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,16,6,0.5727464333176613,0.5363565161824226,0.5761512368917465,7.419453201122139,0.7584040852857747,0.48047407083613897,-36.64669268558974,0.8549262624914928,0.6096480796414037,0.5451350274051817,0.5683411257241362,0.9991466373098367,0.9830875435183125,0.4662364034456164,0.5824598563187439
