comparison,dataset,settings,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
b9_fsn_scf_vs_a6_clean,ETTh2,4,4,-0.2933511162646063,-0.20361743405063748
b9_fsn_scf_vs_a6_clean,ETTm1,4,4,-0.0654964504948452,-0.04762036597418806
b9_fsn_scf_vs_a6_clean,Weather,4,4,-0.01818200501808309,-0.06464711844984539
b9_fsn_scf_vs_a6_clean,ALL,12,12,-0.12567652392584486,-0.10529497282489031
b9_fsn_scf_vs_b9_no_stage,ETTh2,4,2,0.004569532184101055,0.001280128458105989
b9_fsn_scf_vs_b9_no_stage,ETTm1,4,0,0.005857118394175798,-0.00021579040382357917
b9_fsn_scf_vs_b9_no_stage,Weather,4,0,0.0002507880249080774,-0.00017319225779355296
b9_fsn_scf_vs_b9_no_stage,ALL,12,2,0.0035591462010616435,0.000297048598829619
b9_no_stage_vs_a6_clean,ETTh2,4,4,-0.29789881375491545,-0.20489224338859913
b9_no_stage_vs_a6_clean,ETTm1,4,4,-0.0713479043450288,-0.04740513931085766
b9_no_stage_vs_a6_clean,Weather,4,4,-0.018432761011391574,-0.06447387091261803
b9_no_stage_vs_a6_clean,ALL,12,12,-0.12922649303711195,-0.10559041787069161
