epoch,train_loss,train_pred_loss,train_alignment_loss,train_reconstruction_loss,train_raw_reconstruction_loss,mse,mae
1,0.9091301136097666,0.8149849509788771,0.8842136425487066,0.9986895838026273,8618.908569335938,0.6398041248321533,0.5616686940193176
2,0.8406748145313586,0.7503552042831809,0.8099228002257266,0.9964695552648124,8586.35187698623,0.6446621417999268,0.5625094771385193
3,0.8128308956905946,0.7239119147850295,0.7841253593816595,0.9942541465920917,8556.43601032839,0.630972146987915,0.5550639033317566
4,0.7922547924316535,0.7047197162094763,0.7583510916111833,0.9923504429348444,8572.854963916843,0.674963116645813,0.5698487162590027
5,0.7732777625827466,0.6871473268937256,0.7322240946656566,0.9903845999200466,8534.368428893009,0.6856889724731445,0.5724314451217651
6,0.7567411408586017,0.6716145519482888,0.714234009637671,0.9882977928145457,8504.31053446107,0.6732062697410583,0.5661928057670593
7,0.7413519651202832,0.6571724657285012,0.6973499332444143,0.9862401333905882,8509.97716250662,0.7077279090881348,0.5764041543006897
8,0.7285992412243859,0.6453938964059798,0.6800316400447134,0.9840752896616014,8513.250591730668,0.7039907574653625,0.5744407176971436
9,0.7126944944009943,0.6304349666934902,0.6631811594558974,0.9820094169196436,8487.204374668961,0.7253483533859253,0.5837300419807434
10,0.6969736521526918,0.6156668486231465,0.646438432952105,0.9796975931878817,8463.656736212262,0.7447174787521362,0.5907801985740662
11,0.6843431693012432,0.6038673954494929,0.6322010250414832,0.9773145419056133,8416.381496623411,0.7648511528968811,0.5954237580299377
12,0.67094547566721,0.5914354895131063,0.614964779150688,0.9752350005052858,8434.050272278866,0.7834004759788513,0.6042307615280151
13,0.656324943243447,0.5778100909823078,0.5973546818151312,0.9729422462188592,8364.583955409164,0.8116191029548645,0.6101425290107727
