short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,4.7318994154856714e-14,1.2381616443235544e-07,0.0
192,720,4.454359244735612e-14,1.2033254392918025e-07,0.0
336,720,2.9204977737389004e-14,9.093570696450115e-08,0.0
