epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,train_future_raw_reconstruction_loss,train_future_normalized_reconstruction_loss,train_future_alignment_confidence_mean,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.4819132149445288,0.47270310907201335,0.39097901433706284,0.12089110848451541,0.1816132508437008,0.34846011343920097,0.1816132508437008,0.829575082654077,0.6101244017481804,273,257,272,254,0.3743921220302582,0.40899384021759033,0.49636489152908325,0.47058263421058655,0.6388621926307678,0.5333450436592102,0.9308784008026123,0.6375060677528381
2,0.38280720148009784,0.3790534534632708,0.15702270938676188,0.05746798902030357,0.03861308029930418,0.07550161539852111,0.03861308029930418,0.9566251664902224,0.6306227967143059,265,233,261,297,0.39772865176200867,0.42322680354118347,0.5183418393135071,0.48339125514030457,0.6578798294067383,0.5456943511962891,0.9485408663749695,0.6487277150154114
3,0.33103940719174163,0.32847130648566014,0.10925069376544068,0.03665592547887089,0.01652740666671007,0.03228447150887047,0.01652740666671007,0.9812541990117594,0.6712794527411461,245,286,251,274,0.43335017561912537,0.43880847096443176,0.5607935190200806,0.5001691579818726,0.7055478692054749,0.5632834434509277,0.9854262471199036,0.662214994430542
4,0.2900533573701978,0.2881642189159086,0.0820777269969271,0.023869226993569595,0.008891469056834467,0.017246904814259546,0.008891469056834467,0.9900185123198864,0.7334284037351608,245,296,270,245,0.48622453212738037,0.46176278591156006,0.6233265399932861,0.5256587266921997,0.7759150862693787,0.5893886089324951,1.0482474565505981,0.6860337853431702
5,0.2581406970734172,0.2566929759006157,0.06409665806374203,0.016017569382463327,0.005612057626862996,0.011010959035819255,0.005612057626862996,0.9938087642870166,0.7329733222723007,267,257,267,265,0.5078567266464233,0.4702357053756714,0.6279690861701965,0.5290404558181763,0.761866569519043,0.5865651369094849,1.03420090675354,0.6817291975021362
6,0.23422737193830084,0.2330711277653322,0.051946584223487385,0.011355716600629614,0.0037550699849045045,0.007376837392891475,0.0037550699849045045,0.9959096807534947,0.7468502372503281,234,303,268,251,0.5006816387176514,0.4711548388004303,0.6401312351226807,0.5359981060028076,0.7855709195137024,0.5956898927688599,1.0610171556472778,0.6920198202133179
7,0.21781875904310832,0.21686128621469392,0.043536240383136,0.008402345037514655,0.0027247313340591395,0.005397770966572518,0.0027247313340591395,0.9971111617192174,0.7693098336458206,265,256,263,272,0.5229899287223816,0.4808652102947235,0.6629222631454468,0.5461885929107666,0.8043308258056641,0.6044400334358215,1.08699631690979,0.7014707922935486
8,0.2042456176837511,0.2034244678039668,0.03767904844558374,0.00655552356152894,0.0020134029244108015,0.00400440251453829,0.0020134029244108015,0.9979227137272105,0.7626778185367584,263,268,257,268,0.5119926333427429,0.4771198332309723,0.6561380624771118,0.5439918041229248,0.796661913394928,0.6011300086975098,1.085918664932251,0.6996321082115173
9,0.1931336808695712,0.19241603679785674,0.033188872161025014,0.005232039676091958,0.0015464018949084373,0.003086840565546564,0.0015464018949084373,0.9984412254822074,0.7704335153102875,264,273,257,262,0.5099576711654663,0.4760245680809021,0.6637991070747375,0.5460914373397827,0.8069681525230408,0.6037041544914246,1.1010091304779053,0.702863335609436
10,0.1839726051936547,0.18333112058991735,0.02985563631007222,0.004315506171472159,0.001217164250523307,0.0024383402028020514,0.001217164250523307,0.9987612388124971,0.7664400935173035,267,276,268,245,0.5064746737480164,0.4753543734550476,0.6594823002815247,0.5458813905715942,0.8012731075286865,0.6037142872810364,1.0985302925109863,0.7023956775665283
11,0.17613028339815862,0.17554599505312968,0.02733542026147585,0.0036584049911735665,0.0009958593775467527,0.0020013841499211126,0.0009958593775467527,0.9990277897679445,0.761865884065628,286,267,254,249,0.5004267692565918,0.4745277464389801,0.6496843099594116,0.5429096817970276,0.8015424013137817,0.6027763485908508,1.095810055732727,0.700344443321228
