segment,uniform_pressure_share,prefix_pressure_share,pressure_share_delta_pct,raw_pressure_ratio
1-96,0.4797619047618938,0.721703307270621,50.429473475765654,2.611813816744596
97-192,0.2297619047618998,0.15397550519225825,-32.98475421683953,1.163544223248186
193-336,0.157142857142853,0.07745949489232655,-50.70759415942726,0.8558335255738976
337-720,0.1333333333333316,0.04686169264479437,-64.85373051640377,0.610222917911595
horizon_96_loss_multiplier,1.0,2.6118138167445935,161.18138167445935,2.6118138167445935
horizon_192_loss_multiplier,1.0,1.8876790199963907,88.76790199963907,1.8876790199963907
horizon_336_loss_multiplier,1.0,1.4454595223867501,44.545952238675014,1.4454595223867501
horizon_720_loss_multiplier,1.0,1.0,0.0,1.0
