horizon,settings,r3_mse_wins,r3_mae_wins,mean_r3_vs_full_mse_pct,mean_r3_vs_full_mae_pct
96,2,2,2,-7.249493050689637,-4.988616959278286
192,2,2,2,-4.600454159654749,-2.8612980872655958
336,2,2,2,-3.827340134979773,-2.2179689351691847
720,2,2,2,-3.6459057769023584,-2.2163799260307595
