model,strategy,dataset,supervision_strategy,step_loss_weighting,step_loss_alpha,epochs_ran,best_epoch,best_val_mean_mse,last_val_mean_mse,post_best_val_drift_pct,train_loss_drop_pct,exposure_source,observed_training_updates,uses_mixed_horizon_training,updates_h96,share_h96,updates_h192,share_h192,updates_h336,share_h336,updates_h720,share_h720
PatchEncoderFullTimeMSE720,D0_full_time_mse720,ETTh2,full_time_mse,uniform,0.5,13,3,0.38027048110961914,0.435229804366827,14.452692487946472,-30.94486583961752,train_supervision_steps_proxy,767,False,0,0.0,0,0.0,0,0.0,767,1.0
PatchEncoderFullTimeMSE720,D0_full_time_mse720,Weather,full_time_mse,uniform,0.5,14,4,0.5341168344020844,0.5897181704640388,10.40995761240091,-38.3965488964508,train_supervision_steps_proxy,3906,False,0,0.0,0,0.0,0,0.0,3906,1.0
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,r3_prefix_risk,prefix_risk,0.5,11,1,0.374531764537096,0.44357161223888397,18.433642814546847,-53.19518565020189,train_steps_h*,2728,True,687,0.25183284457478006,640,0.23460410557184752,675,0.24743401759530792,726,0.2661290322580645
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,r3_prefix_risk,prefix_risk,0.5,11,1,0.5270421206951141,0.616693802177906,17.01034470727891,-34.7508381428005,train_steps_h*,12419,True,3076,0.2476849987921733,3175,0.25565665512521135,3092,0.24897334729044207,3076,0.2476849987921733
