dataset,horizon,segment,segment_start,segment_end,future_region,r3_mse,full_mse,r3_mae,full_mae,r3_vs_full_mse_pct,r3_vs_full_mae_pct,r3_mse_win,r3_mae_win
ETTh2,96,1-96,1,96,early_1_96,0.30479592084884644,0.3393581807613373,0.35886070132255554,0.3825231194496155,-10.184596061586525,-6.185879211982293,True,True
ETTh2,192,1-96,1,96,early_1_96,0.30273088812828064,0.3345992863178253,0.35670754313468933,0.37814587354660034,-9.524347329083627,-5.669328138065499,True,True
ETTh2,192,97-192,97,192,middle_97_336,0.4353557229042053,0.44287991523742676,0.4440152645111084,0.44843849539756775,-1.6989238108004345,-0.9863628862945562,True,True
ETTh2,336,1-96,1,96,early_1_96,0.27497684955596924,0.29967692494392395,0.3399970233440399,0.3584127724170685,-8.242234664072523,-5.138139734484404,True,True
ETTh2,336,97-192,97,192,middle_97_336,0.3836177885532379,0.3950093984603882,0.4158962666988373,0.4228722155094147,-2.883883257348019,-1.6496588223877007,True,True
ETTh2,336,193-336,193,336,middle_97_336,0.4543939232826233,0.4574902653694153,0.4657894968986511,0.47024375200271606,-0.6768104856377133,-0.947222602128106,True,True
ETTh2,720,1-96,1,96,early_1_96,0.2497519701719284,0.2677626609802246,0.3200547695159912,0.3334573209285736,-6.726363841157957,-4.019270404758402,True,True
ETTh2,720,97-192,97,192,middle_97_336,0.33811911940574646,0.34515154361724854,0.386177659034729,0.39188912510871887,-2.0374888484637865,-1.4574188738729066,True,True
ETTh2,720,193-336,193,336,middle_97_336,0.36967068910598755,0.3720743954181671,0.41950738430023193,0.42428138852119446,-0.6460284130753169,-1.1251976518701468,True,True
ETTh2,720,337-720,337,720,late_337_720,0.4840433597564697,0.49324503540992737,0.4898116886615753,0.5007806420326233,-1.86553842266457,-2.1903708830529056,True,True
Weather,96,1-96,1,96,early_1_96,0.14802636206150055,0.15470075607299805,0.19702932238578796,0.204793781042099,-4.314390039792748,-3.791354706574279,True,True
Weather,192,1-96,1,96,early_1_96,0.14898328483104706,0.15561041235923767,0.1976671665906906,0.20537154376506805,-4.258794400525989,-3.7514336373644652,True,True
Weather,192,97-192,97,192,middle_97_336,0.23583491146564484,0.24580314755439758,0.2821427881717682,0.2872154414653778,-4.0553736548661234,-1.766149225030822,True,True
Weather,336,1-96,1,96,early_1_96,0.15019100904464722,0.1569167673587799,0.19839726388454437,0.20621000230312347,-4.286194794438181,-3.7887291262887257,True,True
Weather,336,97-192,97,192,middle_97_336,0.23710891604423523,0.24739544093608856,0.28319600224494934,0.2884344458580017,-4.157928235432085,-1.8161643618776702,True,True
Weather,336,193-336,193,336,middle_97_336,0.31298476457595825,0.32984283566474915,0.33328187465667725,0.3398382067680359,-5.110940504381722,-1.9292510320459089,True,True
Weather,720,1-96,1,96,early_1_96,0.14746259152889252,0.15296243131160736,0.1975940763950348,0.20479021966457367,-3.5955494009577094,-3.5139096394961933,True,True
Weather,720,97-192,97,192,middle_97_336,0.2326873242855072,0.24120700359344482,0.2828315794467926,0.2874808609485626,-3.5321027917985193,-1.6172490531819794,True,True
Weather,720,193-336,193,336,middle_97_336,0.3130928874015808,0.32862523198127747,0.3351799249649048,0.34143078327178955,-4.726461351142253,-1.8307834598232153,True,True
Weather,720,337-720,337,720,late_337_720,0.3891408443450928,0.4128761291503906,0.3799934387207031,0.38973480463027954,-5.7487665499431735,-2.4994857512963264,True,True
