future_region,settings,r3_mse_wins,r3_mae_wins,mean_r3_vs_full_mse_pct,mean_r3_vs_full_mae_pct
early_1_96,8,8,8,-6.391558816451908,-4.482255574876783
late_337_720,2,2,2,-3.8071524863038717,-2.344928317174616
middle_97_336,10,10,10,-2.9525941352945972,-1.5125457968513012
