comparison,role,metric,candidate,reference,dataset,horizon,gain_percent,candidate_value,reference_value
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,Weather,96,-0.06606816054375297,0.14289532988763504,0.14280098390433107
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,Weather,192,-1.2885512460562465,0.18635733689144152,0.18398657557923903
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,Weather,336,-2.581809826002579,0.24009588134460585,0.23405307602961206
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,Weather,720,-2.7601668110138977,0.31296360926103545,0.3045573192155346
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTm1,96,3.065277620267892,0.27873746711606895,0.287551725814144
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTm1,192,1.6107810634393926,0.32220941213544196,0.3274844699633159
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTm1,336,0.0668121245433917,0.3649288483947196,0.3651728281194414
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTm1,720,-1.0150237322755995,0.4256976963990217,0.4214201815437537
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTm2,96,-4.049659698013008,0.1677131551175552,0.16118568345568354
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTm2,192,-2.1474525947186462,0.22191538590303714,0.21725004419200847
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTm2,336,-0.6745837592393,0.2735432754182933,0.2717103614477961
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTm2,720,0.13138531923841956,0.3499004727099706,0.35036079535943987
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTh1,96,-4.522234385524548,0.37419263042176887,0.3580029001691447
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTh1,192,-3.8826093643685944,0.40463196323635275,0.3895088559213071
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTh1,336,-2.021941817055395,0.4175098853293803,0.4092353839706897
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTh1,720,-1.0484852799996558,0.4661949806861581,0.4613577129774465
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTh2,96,1.0193442437957168,0.24466407117980282,0.2471837242444889
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTh2,192,0.9775090671647946,0.28962189429840773,0.29248092182901353
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTh2,336,1.42653742742338,0.3241033666642963,0.328793732314789
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,ETTh2,720,0.6263095726444345,0.4057082405982411,0.4082652449088857
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,Weather,96,-0.8535688157820465,0.18520950470408443,0.18364199391137656
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,Weather,192,-1.5500647309821147,0.2290800830681343,0.2255833944320902
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,Weather,336,-2.0487190371511588,0.27195001328069807,0.2664903742512376
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,Weather,720,-2.0487378880413187,0.3222683951289164,0.3157985113764761
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTm1,96,1.2008649576704111,0.33311143046932606,0.33716027000297877
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTm1,192,0.5886494590109481,0.35752080660674845,0.3596378126452837
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTm1,336,-0.13911022345911572,0.380346753750648,0.3798183875429982
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTm1,720,-0.7086954674483836,0.4116715128236959,0.40877454614309705
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTm2,96,-3.984767886593188,0.2557366189423023,0.24593661566010439
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTm2,192,-2.0795522619446727,0.2912482360131518,0.28531496226177055
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTm2,336,-1.1230834504946552,0.3261760389286482,0.32255349401833605
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTm2,720,0.21418506389438985,0.3770601901871318,0.37786953028200376
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTh1,96,-2.3424711588037495,0.4024886659199392,0.39327628242961
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTh1,192,-1.573884336686393,0.4199079850948706,0.4134015232724623
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTh1,336,-0.2453422520533488,0.43098351297856985,0.4299287161840598
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTh1,720,0.007962565501284935,0.47243581505253585,0.47247343605935826
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTh2,96,0.9397726835117748,0.31702276447716593,0.32003032202248805
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTh2,192,0.6300331557645644,0.3501744576173576,0.3523946608196656
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTh2,336,0.635961379356087,0.3798545682094324,0.38228575798902126
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,ETTh2,720,-0.020489631743259018,0.437796513802428,0.43770682928499244
full_over_v1,main_effectiveness,mse,ccsf_relcal,siff_v1_equal,Weather,96,-0.15616149352901676,0.14289532988763504,0.14267253033341074
full_over_v1,main_effectiveness,mse,ccsf_relcal,siff_v1_equal,Weather,192,-1.03561215911534,0.18635733689144152,0.18444717947366693
full_over_v1,main_effectiveness,mse,ccsf_relcal,siff_v1_equal,Weather,336,-2.226904494455062,0.24009588134460585,0.2348656476804783
full_over_v1,main_effectiveness,mse,ccsf_relcal,siff_v1_equal,Weather,720,-2.162947759229339,0.31296360926103545,0.3063376851641034
full_over_v1,main_effectiveness,mse,ccsf_relcal,siff_v1_equal,ETTm1,96,2.5582160894204953,0.27873746711606895,0.28605538192102586
