comparison,role,metric,candidate,reference,macro_gain_percent,cell_wins,dataset_wins,horizon_wins
full_over_a6_measure,main_effectiveness,mse,ccsf_relcal,a6_measure,-0.8567315118146901,8,2,0
full_over_a6_measure,main_effectiveness,mae,ccsf_relcal,a6_measure,-0.7250528938236972,7,2,0
full_over_v1,main_effectiveness,mse,ccsf_relcal,siff_v1_equal,-0.615874712842765,6,1,0
full_over_v1,main_effectiveness,mae,ccsf_relcal,siff_v1_equal,-0.3262015655859596,6,2,0
architecture_over_v1,architecture_attribution,mse,ccsf_equal,siff_v1_equal,-0.4802132980230034,7,1,0
architecture_over_v1,architecture_attribution,mae,ccsf_equal,siff_v1_equal,-0.09975289543437404,7,2,1
architecture_over_capacity,architecture_attribution,mse,ccsf_equal,ccsf_no_contrast_equal,-0.24123267842672713,4,1,0
architecture_over_capacity,architecture_attribution,mae,ccsf_equal,ccsf_no_contrast_equal,-0.062422662692925845,5,1,1
calibration_on_ccsf,objective_attribution,mse,ccsf_relcal,ccsf_equal,-0.13860891882932772,4,1,1
calibration_on_ccsf,objective_attribution,mae,ccsf_relcal,ccsf_equal,-0.2263386967857539,4,1,0
full_over_loss_only,interaction_attribution,mse,ccsf_relcal,siff_v1_relcal,-0.006936501072273837,7,1,1
full_over_loss_only,interaction_attribution,mae,ccsf_relcal,siff_v1_relcal,0.26739166893169686,14,4,4
relative_over_standardized_teacher,teacher_attribution,mse,ccsf_relcal,ccsf_stdcal,-0.013207727857471041,9,2,1
relative_over_standardized_teacher,teacher_attribution,mae,ccsf_relcal,ccsf_stdcal,0.04505068135844004,13,4,3
contrast_over_full_capacity,contrast_attribution,mse,ccsf_relcal,ccsf_no_contrast_relcal,-0.1619080012171925,1,0,0
contrast_over_full_capacity,contrast_attribution,mae,ccsf_relcal,ccsf_no_contrast_relcal,-0.12577628560726695,3,1,0
contrast_over_permuted,contrast_attribution,mse,ccsf_relcal,ccsf_permuted_contrast_relcal,0.3567584189295636,14,4,3
contrast_over_permuted,contrast_attribution,mae,ccsf_relcal,ccsf_permuted_contrast_relcal,0.1276043497557211,13,4,3
ordered_over_independent,field_specificity,mse,ccsf_relcal,ccsf_independent_relcal,-0.4581947285745458,8,2,0
ordered_over_independent,field_specificity,mae,ccsf_relcal,ccsf_independent_relcal,-0.3300633861337149,6,2,1
loss_effect_without_contrast,diagnostic_interaction_term,mse,siff_v1_relcal,siff_v1_equal,-0.6139795336991777,7,2,0
loss_effect_without_contrast,diagnostic_interaction_term,mae,siff_v1_relcal,siff_v1_equal,-0.6044989818256263,6,1,0
