dataset,arm,status,protocol_pass,checkpoint_sha256,test_access_date,encoder_initialization_hash,run_dir
Weather,a6_measure,ok,True,d55d81b75735056a9016f6f3217127bca9c0c71cdcb5ac18045b1736c7846489,2026-07-18,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/a6_measure/Weather/h720_full/seed2021
Weather,siff_v1_equal,ok,True,71054994db3e367ae33cdc41e768d8c3347d374e0b7c923ad84e220497d91dcd,2026-07-18,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/siff_v1_equal/Weather/h720_full/seed2021
Weather,siff_v1_relcal,ok,True,02a6503fa5ee07a77fa073ba75b6f6712d616746381b4c971e485c9826b74d25,2026-07-18,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/siff_v1_relcal/Weather/h720_full/seed2021
Weather,ccsf_equal,ok,True,2455812a4a99513aa2362878a449b073d77dd57745de9e33b426d64d9afed86e,2026-07-18,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_equal/Weather/h720_full/seed2021
Weather,ccsf_relcal,ok,True,db23237768193e5a418a4b86ed14ae851442ac12b1ce9611ef18a927692bd1ba,2026-07-18,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_relcal/Weather/h720_full/seed2021
Weather,ccsf_stdcal,ok,True,ea4414cb1abb09e1b0160f4f1d3bc2ffc8064b630d2d01390634ab5389247a80,2026-07-18,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_stdcal/Weather/h720_full/seed2021
Weather,ccsf_no_contrast_equal,ok,True,53b3bdb43af032a28108ca6146d82837ec433010c5494e5634e3742e6f0fe173,2026-07-18,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_no_contrast_equal/Weather/h720_full/seed2021
Weather,ccsf_no_contrast_relcal,ok,True,30ae9ba46c4c1734fd2a4dec164e571631cc93ce5251351d2d126f616021b3bf,2026-07-18,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_no_contrast_relcal/Weather/h720_full/seed2021
Weather,ccsf_permuted_contrast_relcal,ok,True,be5eda8bea7aab0df1be241849fab68d4e8765574172739449a9d05f162caa1a,2026-07-18,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_permuted_contrast_relcal/Weather/h720_full/seed2021
Weather,ccsf_independent_relcal,ok,True,489d7a825d8545daf00c4da7278df66afdc524497b0f5f2fa490c752b5666304,2026-07-18,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_independent_relcal/Weather/h720_full/seed2021
ETTm1,a6_measure,ok,True,2492d7c6f840fa69117201b957f7dc6b37bcaea0df44ad26f479b1e2495dae03,2026-07-18,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/a6_measure/ETTm1/h720_full/seed2021
ETTm1,siff_v1_equal,ok,True,bd0a231b743fba13f8308ebad6f55b5240417f05a51d3dc1dd6125606b48f92c,2026-07-18,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/siff_v1_equal/ETTm1/h720_full/seed2021
ETTm1,siff_v1_relcal,ok,True,2463efb27bccb0e2dfbb1d9c5f1b722d794a4bba66ea32b8f163b7f3b98545b3,2026-07-18,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/siff_v1_relcal/ETTm1/h720_full/seed2021
ETTm1,ccsf_equal,ok,True,41c31b5b89d1d33cf16dde8ee2952316df36e834b58ec8ebb4e05b45afc3775d,2026-07-18,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_equal/ETTm1/h720_full/seed2021
ETTm1,ccsf_relcal,ok,True,c3a352e68cdf69b6d0503945b086290cdbbeca2999cd53aa2be572628e6e7e8d,2026-07-18,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_relcal/ETTm1/h720_full/seed2021
ETTm1,ccsf_stdcal,ok,True,04ed165a598736de2bf099d56e8fb5a207c2fa80a5d6801c1ab78eb807ef7fd0,2026-07-18,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_stdcal/ETTm1/h720_full/seed2021
ETTm1,ccsf_no_contrast_equal,ok,True,925451275d81df841a2969022b0131dfa34d627a7c393525eb38a0e26c5469a2,2026-07-18,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_ccsf_v1_tau25_phase_a/ccsf_no_contrast_equal/ETTm1/h720_full/seed2021
