system,dataset,horizon,mse,mae,checkpoint_repetitions,prefix_identity,matrix_complete,system_role
AMD,ETTm1,192,0.3261481821537018,0.368446409702301,1,True,True,source_native_H720_one_model_all_horizons
AMD,ETTm1,336,0.36311066150665283,0.3872583210468292,1,True,True,source_native_H720_one_model_all_horizons
AMD,ETTm1,720,0.42269816994667053,0.41704830527305603,1,True,True,source_native_H720_one_model_all_horizons
AMD,ETTm2,96,0.17803335189819336,0.264889657497406,1,True,True,source_native_H720_one_model_all_horizons
AMD,ETTm2,192,0.23116612434387207,0.29997411370277405,1,True,True,source_native_H720_one_model_all_horizons
AMD,ETTm2,336,0.2788994610309601,0.33189067244529724,1,True,True,source_native_H720_one_model_all_horizons
AMD,ETTm2,720,0.3553587794303894,0.3814344108104706,1,True,True,source_native_H720_one_model_all_horizons
AMD,Weather,96,0.1494240015745163,0.2052675038576126,1,True,True,source_native_H720_one_model_all_horizons
AMD,Weather,192,0.19319698214530945,0.2456158995628357,1,True,True,source_native_H720_one_model_all_horizons
AMD,Weather,336,0.24393795430660248,0.28327977657318115,1,True,True,source_native_H720_one_model_all_horizons
AMD,Weather,720,0.31507608294487,0.3323940336704254,1,True,True,source_native_H720_one_model_all_horizons
AMD,ECL,96,0.12071198970079422,0.2238701730966568,1,True,True,source_native_H720_one_model_all_horizons
AMD,ECL,192,0.13963037729263306,0.24041353166103363,1,True,True,source_native_H720_one_model_all_horizons
AMD,ECL,336,0.1589653491973877,0.2584109902381897,1,True,True,source_native_H720_one_model_all_horizons
AMD,ECL,720,0.2002936750650406,0.29212602972984314,1,True,True,source_native_H720_one_model_all_horizons
AMD,Solar,96,0.1816468983888626,0.23612089455127716,1,True,True,source_native_H720_one_model_all_horizons
AMD,Solar,192,0.19789086282253265,0.24590103328227997,1,True,True,source_native_H720_one_model_all_horizons
AMD,Solar,336,0.20875787734985352,0.25258970260620117,1,True,True,source_native_H720_one_model_all_horizons
AMD,Solar,720,0.21470476686954498,0.25669339299201965,1,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTh1,96,0.3820835908247869,0.40155937310904094,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTh1,192,0.4146349993576171,0.4176528733216,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTh1,336,0.4379952879815931,0.4331428132965982,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTh1,720,0.469748079416951,0.46545722247915283,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTh2,96,0.24072274445064198,0.3146334779726682,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTh2,192,0.2989096336034203,0.35099206348769263,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTh2,336,0.3466216833585693,0.3872979472128379,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTh2,720,0.41443220475293713,0.4364249857033586,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTm1,96,0.31732778501775655,0.36718127594105043,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTm1,192,0.35015784628649177,0.3829486903340362,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTm1,336,0.38929307025304655,0.4051990352827961,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTm1,720,0.4542526424651314,0.43794770642892394,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTm2,96,0.186411561735623,0.27070252345420204,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTm2,192,0.24945371306676764,0.3090781015234032,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTm2,336,0.3082427633918953,0.3459102899597956,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ETTm2,720,0.40076594485542777,0.3991514995540233,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,Weather,96,0.17123160722076658,0.2209990318413034,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,Weather,192,0.21204180626071567,0.2572448399665202,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,Weather,336,0.26150338018189473,0.2932943316592099,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,Weather,720,0.3457577038919015,0.34370551336397764,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ECL,96,0.13834304615076923,0.24161644966475226,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ECL,192,0.1518517996997434,0.25308452702800205,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ECL,336,0.1684309467985913,0.2680779610357653,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,ECL,720,0.20076404152045482,0.293490285213377,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,Solar,96,0.1705188705988557,0.23361285345994331,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,Solar,192,0.1862142608933297,0.24517393377936467,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,Solar,336,0.18943058708407523,0.248610065013405,3,True,True,source_native_H720_one_model_all_horizons
SimpleTM,Solar,720,0.19978683358714652,0.254363545820319,3,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTh1,96,0.3994976840354713,0.41497502136809616,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTh1,192,0.43480991123573876,0.43516774410091014,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTh1,336,0.4586366060400591,0.45225017009744967,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTh1,720,0.5093046218759192,0.49383628933682067,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTh2,96,0.2638755681901802,0.3296845650581145,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTh2,192,0.31944926640871285,0.3653566714816887,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTh2,336,0.3612211355252601,0.3982784588536744,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTh2,720,0.42967171498841433,0.4464756393635063,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTm1,96,0.34026582748325435,0.38241051272134524,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTm1,192,0.3738953700823285,0.3982116605197053,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTm1,336,0.4162797932454306,0.4216299384197164,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTm1,720,0.4869880086753695,0.45648442910596215,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTm2,96,0.19455927454363758,0.2794374395237803,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTm2,192,0.25950895271629176,0.31803394142955566,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTm2,336,0.3244227841582002,0.357704895622956,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,ETTm2,720,0.4157624951761465,0.4086312517228196,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,Weather,96,0.17741786133405726,0.2223089076851516,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,Weather,192,0.22325432420242367,0.2613036242852336,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,Weather,336,0.27650929227091126,0.29946343763034056,1,True,True,source_native_H720_one_model_all_horizons
iTransformer,Weather,720,0.358874337491641,0.35073530336167696,1,True,True,source_native_H720_one_model_all_horizons
