comparison,layer,metric,candidate,reference,macro_gain_percent,cell_wins,dataset_wins,max_dataset_degradation_percent
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,-2.212825659790217,4,1,5.053849037682384
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,-1.6986641114406043,5,1,4.069774485617195
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,-0.7775027508137833,7,1,2.6170076302433287
context_vs_a6_full,paper_facing_effectiveness_context,mae,iscf_v1_cpsi,a6_full,-1.060634504132893,8,1,4.342195710753538
common_private_vs_self,matched_mechanism_attribution,mse,iscf_v1_cpsi,iscf_v1_cpsi_self,0.9559608335748532,17,4,0.001990906438076312
common_private_vs_self,matched_mechanism_attribution,mae,iscf_v1_cpsi,iscf_v1_cpsi_self,0.2961639937729599,13,3,0.17653938756266863
nonlinear_vs_linear,matched_mechanism_attribution,mse,iscf_v1_cpsi,iscf_v1_cpsi_linear,-2.2586247668352986,3,0,4.192104120796275
nonlinear_vs_linear,matched_mechanism_attribution,mae,iscf_v1_cpsi,iscf_v1_cpsi_linear,-1.7462521110087441,1,0,3.569317413440587
common_private_vs_common,matched_mechanism_attribution,mse,iscf_v1_cpsi,iscf_v1_cpsi_common,0.7648379350666229,13,3,1.1339491852825623
common_private_vs_common,matched_mechanism_attribution,mae,iscf_v1_cpsi,iscf_v1_cpsi_common,0.6246854961267101,16,4,0.7395034619517737
pre_vs_post_synthesis,matched_mechanism_attribution,mse,iscf_v1_cpsi,iscf_v1_cpsi_post,-1.7093326193240759,4,1,3.638142670084077
pre_vs_post_synthesis,matched_mechanism_attribution,mae,iscf_v1_cpsi,iscf_v1_cpsi_post,-1.065301117896832,8,2,3.937110118603304
