dataset,arm,message_rms,latent_rms,common_rms,private_rms,output_projection_norm,all_finite
Weather,iscf_v1_cpsi,0.21428653597831726,2.758549213409424,0.47791948914527893,0.798851490020752,1.689678430557251,True
ETTm1,iscf_v1_cpsi,0.16222235560417175,3.1797709465026855,0.5278370380401611,0.7592068314552307,1.0806975364685059,True
ETTh1,iscf_v1_cpsi,0.08877086639404297,4.429957389831543,0.8019255995750427,1.3144495487213135,0.3776710331439972,True
ETTh2,iscf_v1_cpsi,0.1139315515756607,3.319624185562134,0.5021723508834839,0.8708378076553345,0.5268768072128296,True
ETTm2,iscf_v1_cpsi,0.30739814043045044,8.232992172241211,0.772254467010498,1.2282716035842896,0.9810643792152405,True
Weather,iscf_v1_cpsi_self,0.48846203088760376,5.55814790725708,0.343247652053833,0.5461421608924866,1.9396538734436035,True
ETTm1,iscf_v1_cpsi_self,0.35814976692199707,6.190622806549072,0.3786720633506775,0.5991606712341309,1.2946664094924927,True
ETTh1,iscf_v1_cpsi_self,0.15236276388168335,7.424614906311035,0.5101133584976196,0.8908388614654541,0.44355612993240356,True
ETTh2,iscf_v1_cpsi_self,0.2406366765499115,7.939845085144043,0.3833814263343811,0.6635915040969849,0.6377015709877014,True
ETTm2,iscf_v1_cpsi_self,0.36248579621315,5.504067897796631,0.5542197227478027,0.9949389696121216,1.4142409563064575,True
Weather,iscf_v1_cpsi_linear,0.10669654607772827,0.8437961339950562,0.2372516691684723,0.2658154368400574,1.1879397630691528,True
ETTm1,iscf_v1_cpsi_linear,0.05867529660463333,0.6707524061203003,0.2388865351676941,0.25984275341033936,1.2282861471176147,True
ETTh1,iscf_v1_cpsi_linear,0.06656837463378906,0.9441397190093994,0.2468840628862381,0.3305872082710266,0.6352932453155518,True
ETTh2,iscf_v1_cpsi_linear,0.05700266361236572,0.8289279937744141,0.20855820178985596,0.3256722390651703,0.7028502225875854,True
ETTm2,iscf_v1_cpsi_linear,0.03310501202940941,0.5974735021591187,0.2738117277622223,0.29403674602508545,0.5780389308929443,True
Weather,iscf_v1_cpsi_common,0.13084331154823303,2.8003158569335938,0.5297440886497498,0.7061787247657776,1.433301568031311,True
ETTm1,iscf_v1_cpsi_common,0.07051746547222137,1.758941650390625,0.4966769218444824,0.6545160412788391,1.1945334672927856,True
ETTh1,iscf_v1_cpsi_common,0.082725889980793,3.723256826400757,0.7549893856048584,1.0509676933288574,0.41618895530700684,True
ETTh2,iscf_v1_cpsi_common,0.0948803499341011,3.2649760246276855,0.5063431859016418,0.7411400079727173,0.5531197786331177,True
ETTm2,iscf_v1_cpsi_common,0.13839195668697357,4.631053924560547,0.8893081545829773,1.1055676937103271,1.024880290031433,True
Weather,iscf_v1_cpsi_post,0.9796293377876282,11.226064682006836,0.6324262619018555,0.7157145738601685,2.4675211906433105,True
ETTm1,iscf_v1_cpsi_post,1.060511589050293,12.944866180419922,0.646991491317749,0.8028003573417664,1.9593931436538696,True
ETTh1,iscf_v1_cpsi_post,0.9066307544708252,13.98804759979248,0.7326041460037231,0.6527429819107056,1.552786946296692,True
ETTh2,iscf_v1_cpsi_post,0.5835137367248535,6.032279968261719,0.49912816286087036,0.5420455932617188,1.778849482536316,True
ETTm2,iscf_v1_cpsi_post,0.8972690105438232,11.428868293762207,0.7075766324996948,0.7332608103752136,1.6291524171829224,True
