arm,label,dataset,selector,best_epoch,official_best_epoch,official_gap_to_selector_best_pct
F2-A0,F2-A0_single_prefix_floor000,ETTh2,val_mean,2,2,0.0
F2-A0,F2-A0_single_prefix_floor000,ETTh2,short_mean,7,2,0.9175704026687992
F2-A0,F2-A0_single_prefix_floor000,ETTh2,long_mean,2,2,0.0
F2-A0,F2-A0_single_prefix_floor000,ETTh2,h720,2,2,0.0
F2-A0,F2-A0_single_prefix_floor000,Weather,val_mean,7,7,0.0
F2-A0,F2-A0_single_prefix_floor000,Weather,short_mean,7,7,0.0
F2-A0,F2-A0_single_prefix_floor000,Weather,long_mean,7,7,0.0
F2-A0,F2-A0_single_prefix_floor000,Weather,h720,7,7,0.0
F2-A1,F2-A1_r3_floor000,ETTh2,val_mean,3,3,0.0
F2-A1,F2-A1_r3_floor000,ETTh2,short_mean,1,3,1.149690926296687
F2-A1,F2-A1_r3_floor000,ETTh2,long_mean,3,3,0.0
F2-A1,F2-A1_r3_floor000,ETTh2,h720,3,3,0.0
F2-A1,F2-A1_r3_floor000,Weather,val_mean,1,1,0.0
F2-A1,F2-A1_r3_floor000,Weather,short_mean,1,1,0.0
F2-A1,F2-A1_r3_floor000,Weather,long_mean,4,1,0.7260575455503515
F2-A1,F2-A1_r3_floor000,Weather,h720,4,1,1.4672848589815324
